level,verb,tense,1s,2s,3s,1p,2p,3p
C2,Allay,Future Perfect Continuous,I will have been allaying,you will have been allaying,he/she/it will have been allaying,we will have been allaying,you will have been allaying,they will have been allaying
C2,Allay,First Conditional,If I allay,you will allay,he/she/it will allay,we will allay,you will allay,they will allay
C2,Allay,Second Conditional,If I allayed,you would allay,he/she/it would allay,we would allay,you would allay,they would allay
C2,Allay,Third Conditional,If I had allayed,you would have allayed,he/she/it would have allayed,we would have allayed,you would have allayed,they would have allayed
C2,Allay,Mixed Conditional,If I had allayed,you would allay,he/she/it would allay,we would allay,you would allay,they would allay
C2,Allude,Present Simple,I allude,you allude,he/she/it alludes,we allude,you allude,they allude
C2,Allude,Present Continuous,I am alluding,you are alluding,he/she/it is alluding,we are alluding,you are alluding,they are alluding
C2,Allude,Present Perfect,I have alluded,you have alluded,he/she/it has alluded,we have alluded,you have alluded,they have alluded
C2,Allude,Present Perfect Continuous,I have been alluding,you have been alluding,he/she/it has been alluding,we have been alluding,you have been alluding,they have been alluding
C2,Allude,Past Simple,I alluded,you alluded,he/she/it alluded,we alluded,you alluded,they alluded
C2,Allude,Past Continuous,I was alluding,you were alluding,he/she/it was alluding,we were alluding,you were alluding,they were alluding
C2,Allude,Past Perfect Simple,I had alluded,you had alluded,he/she/it had alluded,we had alluded,you had alluded,they had alluded
C2,Allude,Past Perfect Continuous,I had been alluding,you had been alluding,he/she/it had been alluding,we had been alluding,you had been alluding,they had been alluding
C2,Allude,Future Simple,I will allude,you will allude,he/she/it will allude,we will allude,you will allude,they will allude
C2,Allude,Future Continuous,I will be alluding,you will be alluding,he/she/it will be alluding,we will be alluding,you will be alluding,they will be alluding
C2,Allude,Future Perfect Simple,I will have alluded,you will have alluded,he/she/it will have alluded,we will have alluded,you will have alluded,they will have alluded
C2,Allude,Future Perfect Continuous,I will have been alluding,you will have been alluding,he/she/it will have been alluding,we will have been alluding,you will have been alluding,they will have been alluding
C2,Allude,First Conditional,If I allude,you will allude,he/she/it will allude,we will allude,you will allude,they will allude
C2,Allude,Second Conditional,If I alluded,you would allude,he/she/it would allude,we would allude,you would allude,they would allude
C2,Allude,Third Conditional,If I had alluded,you would have alluded,he/she/it would have alluded,we would have alluded,you would have alluded,they would have alluded
C2,Allude,Mixed Conditional,If I had alluded,you would allude,he/she/it would allude,we would allude,you would allude,they would allude
C2,Ameliorate,Present Simple,I ameliorate,you ameliorate,he/she/it ameliorates,we ameliorate,you ameliorate,they ameliorate
C2,Ameliorate,Present Continuous,I am ameliorating,you are ameliorating,he/she/it is ameliorating,we are ameliorating,you are ameliorating,they are ameliorating
C2,Ameliorate,Present Perfect,I have ameliorated,you have ameliorated,he/she/it has ameliorated,we have ameliorated,you have ameliorated,they have ameliorated
C2,Ameliorate,Present Perfect Continuous,I have been ameliorating,you have been ameliorating,he/she/it has been ameliorating,we have been ameliorating,you have been ameliorating,they have been ameliorating
C2,Ameliorate,Past Simple,I ameliorated,you ameliorated,he/she/it ameliorated,we ameliorated,you ameliorated,they ameliorated
C2,Ameliorate,Past Continuous,I was ameliorating,you were ameliorating,he/she/it was ameliorating,we were ameliorating,you were ameliorating,they were ameliorating
C2,Ameliorate,Past Perfect Simple,I had ameliorated,you had ameliorated,he/she/it had ameliorated,we had ameliorated,you had ameliorated,they had ameliorated
C2,Ameliorate,Past Perfect Continuous,I had been ameliorating,you had been ameliorating,he/she/it had been ameliorating,we had been ameliorating,you had been ameliorating,they had been ameliorating
C2,Ameliorate,Future Simple,I will ameliorate,you will ameliorate,he/she/it will ameliorate,we will ameliorate,you will ameliorate,they will ameliorate
C2,Ameliorate,Future Continuous,I will be ameliorating,you will be ameliorating,he/she/it will be ameliorating,we will be ameliorating,you will be ameliorating,they will be ameliorating
C2,Ameliorate,Future Perfect Simple,I will have ameliorated,you will have ameliorated,he/she/it will have ameliorated,we will have ameliorated,you will have ameliorated,they will have ameliorated
C2,Ameliorate,Future Perfect Continuous,I will have been ameliorating,you will have been ameliorating,he/she/it will have been ameliorating,we will have been ameliorating,you will have been ameliorating,they will have been ameliorating
C2,Ameliorate,First Conditional,If I ameliorate,you will ameliorate,he/she/it will ameliorate,we will ameliorate,you will ameliorate,they will ameliorate
C2,Ameliorate,Second Conditional,If I ameliorated,you would ameliorate,he/she/it would ameliorate,we would ameliorate,you would ameliorate,they would ameliorate
C2,Ameliorate,Third Conditional,If I had ameliorated,you would have ameliorated,he/she/it would have ameliorated,we would have ameliorated,you would have ameliorated,they would have ameliorated
C2,Ameliorate,Mixed Conditional,If I had ameliorated,you would ameliorate,he/she/it would ameliorate,we would ameliorate,you would ameliorate,they would ameliorate
C2,Anoint,Present Simple,I anoint,you anoint,he/she/it anoints,we anoint,you anoint,they anoint
C2,Anoint,Present Continuous,I am anointing,you are anointing,he/she/it is anointing,we are anointing,you are anointing,they are anointing
C2,Anoint,Present Perfect,I have anointed,you have anointed,he/she/it has anointed,we have anointed,you have anointed,they have anointed
C2,Anoint,Present Perfect Continuous,I have been anointing,you have been anointing,he/she/it has been anointing,we have been anointing,you have been anointing,they have been anointing
C2,Anoint,Past Simple,I anointed,you anointed,he/she/it anointed,we anointed,you anointed,they anointed
C2,Anoint,Past Continuous,I was anointing,you were anointing,he/she/it was anointing,we were anointing,you were anointing,they were anointing
C2,Anoint,Past Perfect Simple,I had anointed,you had anointed,he/she/it had anointed,we had anointed,you had anointed,they had anointed
C2,Anoint,Past Perfect Continuous,I had been anointing,you had been anointing,he/she/it had been anointing,we had been anointing,you had been anointing,they had been anointing
C2,Anoint,Future Simple,I will anoint,you will anoint,he/she/it will anoint,we will anoint,you will anoint,they will anoint
C2,Anoint,Future Continuous,I will be anointing,you will be anointing,he/she/it will be anointing,we will be anointing,you will be anointing,they will be anointing
C2,Anoint,Future Perfect Simple,I will have anointed,you will have anointed,he/she/it will have anointed,we will have anointed,you will have anointed,they will have anointed
C2,Anoint,Future Perfect Continuous,I will have been anointing,you will have been anointing,he/she/it will have been anointing,we will have been anointing,you will have been anointing,they will have been anointing
C2,Anoint,First Conditional,If I anoint,you will anoint,he/she/it will anoint,we will anoint,you will anoint,they will anoint
C2,Anoint,Second Conditional,If I anointed,you would anoint,he/she/it would anoint,we would anoint,you would anoint,they would anoint
C2,Anoint,Third Conditional,If I had anointed,you would have anointed,he/she/it would have anointed,we would have anointed,you would have anointed,they would have anointed
C2,Anoint,Mixed Conditional,If I had anointed,you would anoint,he/she/it would anoint,we would anoint,you would anoint,they would anoint
C2,Apprise,Present Simple,I apprise,you apprise,he/she/it apprises,we apprise,you apprise,they apprise
C2,Apprise,Present Continuous,I am apprising,you are apprising,he/she/it is apprising,we are apprising,you are apprising,they are apprising
C2,Apprise,Present Perfect,I have apprised,you have apprised,he/she/it has apprised,we have apprised,you have apprised,they have apprised
C2,Apprise,Present Perfect Continuous,I have been apprising,you have been apprising,he/she/it has been apprising,we have been apprising,you have been apprising,they have been apprising
C2,Apprise,Past Simple,I apprised,you apprised,he/she/it apprised,we apprised,you apprised,they apprised
C2,Apprise,Past Continuous,I was apprising,you were apprising,he/she/it was apprising,we were apprising,you were apprising,they were apprising
C2,Apprise,Past Perfect Simple,I had apprised,you had apprised,he/she/it had apprised,we had apprised,you had apprised,they had apprised
C2,Apprise,Past Perfect Continuous,I had been apprising,you had been apprising,he/she/it had been apprising,we had been apprising,you had been apprising,they had been apprising
C2,Apprise,Future Simple,I will apprise,you will apprise,he/she/it will apprise,we will apprise,you will apprise,they will apprise
C2,Apprise,Future Continuous,I will be apprising,you will be apprising,he/she/it will be apprising,we will be apprising,you will be apprising,they will be apprising
C2,Apprise,Future Perfect Simple,I will have apprised,you will have apprised,he/she/it will have apprised,we will have apprised,you will have apprised,they will have apprised
C2,Apprise,Future Perfect Continuous,I will have been apprising,you will have been apprising,he/she/it will have been apprising,we will have been apprising,you will have been apprising,they will have been apprising
C2,Apprise,First Conditional,If I apprise,you will apprise,he/she/it will apprise,we will apprise,you will apprise,they will apprise
C2,Apprise,Second Conditional,If I apprised,you would apprise,he/she/it would apprise,we would apprise,you would apprise,they would apprise
C2,Apprise,Third Conditional,If I had apprised,you would have apprised,he/she/it would have apprised,we would have apprised,you would have apprised,they would have apprised
C2,Apprise,Mixed Conditional,If I had apprised,you would apprise,he/she/it would apprise,we would apprise,you would apprise,they would apprise
C2,Assuage,Present Simple,I assuage,you assuage,he/she/it assuages,we assuage,you assuage,they assuage
C2,Assuage,Present Continuous,I am assuaging,you are assuaging,he/she/it is assuaging,we are assuaging,you are assuaging,they are assuaging
C2,Assuage,Present Perfect,I have assuaged,you have assuaged,he/she/it has assuaged,we have assuaged,you have assuaged,they have assuaged
C2,Assuage,Present Perfect Continuous,I have been assuaging,you have been assuaging,he/she/it has been assuaging,we have been assuaging,you have been assuaging,they have been assuaging
C2,Assuage,Past Simple,I assuaged,you assuaged,he/she/it assuaged,we assuaged,you assuaged,they assuaged
C2,Assuage,Past Continuous,I was assuaging,you were assuaging,he/she/it was assuaging,we were assuaging,you were assuaging,they were assuaging
C2,Assuage,Past Perfect Simple,I had assuaged,you had assuaged,he/she/it had assuaged,we had assuaged,you had assuaged,they had assuaged
C2,Assuage,Past Perfect Continuous,I had been assuaging,you had been assuaging,he/she/it had been assuaging,we had been assuaging,you had been assuaging,they had been assuaging
C2,Assuage,Future Simple,I will assuage,you will assuage,he/she/it will assuage,we will assuage,you will assuage,they will assuage
C2,Assuage,Future Continuous,I will be assuaging,you will be assuaging,he/she/it will be assuaging,we will be assuaging,you will be assuaging,they will be assuaging
C2,Assuage,Future Perfect Simple,I will have assuaged,you will have assuaged,he/she/it will have assuaged,we will have assuaged,you will have assuaged,they will have assuaged
C2,Assuage,Future Perfect Continuous,I will have been assuaging,you will have been assuaging,he/she/it will have been assuaging,we will have been assuaging,you will have been assuaging,they will have been assuaging
C2,Assuage,First Conditional,If I assuage,you will assuage,he/she/it will assuage,we will assuage,you will assuage,they will assuage
C2,Assuage,Second Conditional,If I assuaged,you would assuage,he/she/it would assuage,we would assuage,you would assuage,they would assuage
C2,Assuage,Third Conditional,If I had assuaged,you would have assuaged,he/she/it would have assuaged,we would have assuaged,you would have assuaged,they would have assuaged
C2,Assuage,Mixed Conditional,If I had assuaged,you would assuage,he/she/it would assuage,we would assuage,you would assuage,they would assuage
C2,Aver,Present Simple,I aver,you aver,he/she/it avers,we aver,you aver,they aver
C2,Aver,Present Continuous,I am averring,you are averring,he/she/it is averring,we are averring,you are averring,they are averring
C2,Aver,Present Perfect,I have averred,you have averred,he/she/it has averred,we have averred,you have averred,they have averred
C2,Aver,Present Perfect Continuous,I have been averring,you have been averring,he/she/it has been averring,we have been averring,you have been averring,they have been averring
C2,Aver,Past Simple,I averred,you averred,he/she/it averred,we averred,you averred,they averred
C2,Aver,Past Continuous,I was averring,you were averring,he/she/it was averring,we were averring,you were averring,they were averring
C2,Aver,Past Perfect Simple,I had averred,you had averred,he/she/it had averred,we had averred,you had averred,they had averred
C2,Aver,Past Perfect Continuous,I had been averring,you had been averring,he/she/it had been averring,we had been averring,you had been averring,they had been averring
C2,Aver,Future Simple,I will aver,you will aver,he/she/it will aver,we will aver,you will aver,they will aver
C2,Aver,Future Continuous,I will be averring,you will be averring,he/she/it will be averring,we will be averring,you will be averring,they will be averring
C2,Aver,Future Perfect Simple,I will have averred,you will have averred,he/she/it will have averred,we will have averred,you will have averred,they will have averred
C2,Aver,Future Perfect Continuous,I will have been averring,you will have been averring,he/she/it will have been averring,we will have been averring,you will have been averring,they will have been averring
C2,Aver,First Conditional,If I aver,you will aver,he/she/it will aver,we will aver,you will aver,they will aver
C2,Aver,Second Conditional,If I averred,you would aver,he/she/it would aver,we would aver,you would aver,they would aver
C2,Aver,Third Conditional,If I had averred,you would have averred,he/she/it would have averred,we would have averred,you would have averred,they would have averred
C2,Aver,Mixed Conditional,If I had averred,you would aver,he/she/it would aver,we would aver,you would aver,they would aver
C2,Beholden,Present Simple,I beholden,you beholden,he/she/it beholdens,we beholden,you beholden,they beholden
C2,Beholden,Present Continuous,I am beholding,you are beholding,he/she/it is beholding,we are beholding,you are beholding,they are beholding
C2,Beholden,Present Perfect,I have beholden,you have beholden,he/she/it has beholden,we have beholden,you have beholden,they have beholden
C2,Beholden,Present Perfect Continuous,I have been beholding,you have been beholding,he/she/it has been beholding,we have been beholding,you have been beholding,they have been beholding
C2,Beholden,Past Simple,I beholden,you beholden,he/she/it beholden,we beholden,you beholden,they beholden
C2,Beholden,Past Continuous,I was beholding,you were beholding,he/she/it was beholding,we were beholding,you were beholding,they were beholding
C2,Beholden,Past Perfect Simple,I had beholden,you had beholden,he/she/it had beholden,we had beholden,you had beholden,they had beholden
C2,Beholden,Past Perfect Continuous,I had been beholding,you had been beholding,he/she/it had been beholding,we had been beholding,you had been beholding,they had been beholding
C2,Beholden,Future Simple,I will beholden,you will beholden,he/she/it will beholden,we will beholden,you will beholden,they will beholden
C2,Beholden,Future Continuous,I will be beholding,you will be beholding,he/she/it will be beholding,we will be beholding,you will be beholding,they will be beholding
C2,Beholden,Future Perfect Simple,I will have beholden,you will have beholden,he/she/it will have beholden,we will have beholden,you will have beholden,they will have beholden
C2,Beholden,Future Perfect Continuous,I will have been beholding,you will have been beholding,he/she/it will have been beholding,we will have been beholding,you will have been beholding,they will have been beholding
C2,Beholden,First Conditional,If I beholden,you will beholden,he/she/it will beholden,we will beholden,you will beholden,they will beholden
C2,Beholden,Second Conditional,If I beholden,you would beholden,he/she/it would beholden,we would beholden,you would beholden,they would beholden
C2,Beholden,Third Conditional,If I had beholden,you would have beholden,he/she/it would have beholden,we would have beholden,you would have beholden,they would have beholden
C2,Beholden,Mixed Conditional,If I had beholden,you would beholden,he/she/it would beholden,we would beholden,you would beholden,they would beholden
C2,Beseech,Present Simple,I beseech,you beseech,he/she/it beseeches,we beseech,you beseech,they beseech
C2,Beseech,Present Continuous,I am beseeching,you are beseeching,he/she/it is beseeching,we are beseeching,you are beseeching,they are beseeching
C2,Beseech,Present Perfect,I have beseeched,you have beseeched,he/she/it has beseeched,we have beseeched,you have beseeched,they have beseeched
C2,Beseech,Present Perfect Continuous,I have been beseeching,you have been beseeching,he/she/it has been beseeching,we have been beseeching,you have been beseeching,they have been beseeching
C2,Beseech,Past Simple,I beseeched,you beseeched,he/she/it beseeched,we beseeched,you beseeched,they beseeched
C2,Beseech,Past Continuous,I was beseeching,you were beseeching,he/she/it was beseeching,we were beseeching,you were beseeching,they were beseeching
C2,Beseech,Past Perfect Simple,I had beseeched,you had beseeched,he/she/it had beseeched,we had beseeched,you had beseeched,they had beseeched
C2,Beseech,Past Perfect Continuous,I had been beseeching,you had been beseeching,he/she/it had been beseeching,we had been beseeching,you had been beseeching,they had been beseeching
C2,Beseech,Future Simple,I will beseech,you will beseech,he/she/it will beseech,we will beseech,you will beseech,they will beseech
C2,Beseech,Future Continuous,I will be beseeching,you will be beseeching,he/she/it will be beseeching,we will be beseeching,you will be beseeching,they will be beseeching
C2,Beseech,Future Perfect Simple,I will have beseeched,you will have beseeched,he/she/it will have beseeched,we will have beseeched,you will have beseeched,they will have beseeched
