Category,Level,English,Italian
adjectives,C1,acerbic,acerbo/pungente
adjectives,C1,ardent,ardente/appassionato
adjectives,C1,belabored,lungo e pesante
adjectives,C1,bold,coraggioso/spregiudicato
adjectives,C1,brazen,spudorato/temerario
adjectives,C1,callous,insensibile
adjectives,C1,capable,capace/abile
adjectives,C1,clairvoyant,chiaroveggente
adjectives,C1,clandestine,clandestino
adjectives,C1,covert,occulto
adjectives,C1,deft,abile/scaltro
adjectives,C1,deliberate,deliberato/voluto
adjectives,C1,desultory,disperso/casuale
adjectives,C1,diligent,diligente
adjectives,C1,dispassionate,imparziale
adjectives,C1,dynamic,dinamico
adjectives,C1,eccentric,eccentrico
adjectives,C1,effervescent,effervescente
adjectives,C1,eloquent,eloquente
adjectives,C1,enigmatic,enigmatico
adjectives,C1,enthralling,affascinante
adjectives,C1,erudite,erudito
verbs,C1,abandon,abbandonare
verbs,C1,abbreviate,abbreviare
verbs,C1,abdicate,rinunciare (a un ruolo/potere)
verbs,C1,abhor,odiare
verbs,C1,abridge,riassumere/accorciare
verbs,C1,abscond,fuggire di nascosto
verbs,C1,acclimate,abituarsi/adattarsi
verbs,C1,acquiesce,acconsentire
verbs,C1,admonish,rimproverare
verbs,C1,advocate,sostenere/promuovere
verbs,C1,aggravate,aggravare
verbs,C1,alleviate,alleviare
verbs,C1,ameliorate,migliorare
verbs,C1,analyze,analizzare
verbs,C1,anticipate,prevedere/aspettarsi
verbs,C1,apprise,informare
verbs,C1,arbitrate,arbitrare/risolvere una disputa
verbs,C1,ascertain,accertare
verbs,C1,assert,affermare
verbs,C1,assimilate,assimilare/integrarsi
verbs,C1,attest,testimoniare
verbs,C1,authorize,autorizzare
verbs,C1,bolster,rinforzare/sostenere
verbs,C1,broadcast,trasmettere/divulgare
verbs,C1,broach,accennare/introdurre un argomento
verbs,C1,broaden,allargare/ampliare
verbs,C1,bypass,eludere/superare
verbs,C1,calibrate,tarare/regolare
verbs,C1,capitalize,sfruttare/approfittare
verbs,C1,catalyze,catalizzare
verbs,C1,circumvent,eludere/aggirare
verbs,C1,clarify,chiarire
verbs,C1,coerce,coartare/forzare
verbs,C1,collaborate,collaborare
verbs,C1,commence,intraprendere/iniziare
verbs,C1,compel,costringere
verbs,C1,compile,compilare/raccogliere
verbs,C1,comprehend,comprendere
verbs,C1,conceal,nascondere
verbs,C1,concede,ammettere/cedere
verbs,C1,concur,concordare/essere d’accordo
verbs,C1,condone,perdonare/trascurare
verbs,C1,confer,conferire
verbs,C1,confide,confidare
verbs,C1,consolidate,consolidare
verbs,C1,construe,interpretare
verbs,C1,contend,affermare/sostenere
verbs,C1,contradict,contraddire
verbs,C1,converge,convergere/incontrarsi
verbs,C1,corroborate,corroborare
verbs,C1,critique,criticare/analizzare
verbs,C1,culminate,culminare
verbs,C1,debunk,smontare/sfatare
verbs,C1,defer,differire/rinviare
verbs,C1,deliberate,deliberare/riflettere
verbs,C1,demonstrate,dimostrare
verbs,C1,depict,raffigurare/descrivere
verbs,C1,derive,derivare/ottenere
verbs,C1,devise,ideare/pianificare
verbs,C1,delineate,delimitare/descrivere
verbs,C1,denounce,denunciare/condannare
verbs,C1,deplore,deplorare/condannare
verbs,C1,designate,designare
verbs,C1,determine,determinare/decidere
verbs,C1,devastate,devastare
verbs,C1,dictate,dettare/imporre
verbs,C1,differentiate,differenziare
verbs,C1,discern,distinguere/percepire
verbs,C1,disclose,divulgare/rivelare
verbs,C1,discredit,discreditare
verbs,C1,disseminate,disseminare/propagare
verbs,C1,distinguish,distinguere
verbs,C1,diversify,diversificare
verbs,C1,elaborate,elaborare/spiegare in dettaglio
verbs,C1,embellish,abbellire/esagerare
verbs,C1,emphasize,enfatizzare/sottolineare
verbs,C1,empower,dare potere/rafforzare
verbs,C1,encapsulate,riassumere/sintetizzare
verbs,C1,encroach,invadere/oltrepassare
verbs,C1,endorse,sostenere/appoggiare
verbs,C1,engender,generare/produrre
verbs,C1,enlighten,illuminare/informare
verbs,C1,enrich,arricchire/migliorare
verbs,C1,entail,comportare
verbs,C1,enumerate,elencare
verbs,C1,envision,immaginare/pianificare
verbs,C1,epitomize,riassumere/essere l’esempio di
verbs,C1,eradicate,eradicate/estirpare
verbs,C1,espouse,sposare/sostenere (idee)
verbs,C1,evoke,evocare/suscitare
verbs,C1,exacerbate,esacerbare
verbs,C1,exemplify,esemplificare
verbs,C1,expedite,accelerare/agevolare
verbs,C1,exploit,sfruttare
verbs,C1,extol,lodare/esaltare
verbs,C1,facilitate,facilitare
verbs,C1,fathom,comprendere/percepire
verbs,C1,foresee,prevedere
verbs,C1,formulate,formulare/pianificare
verbs,C1,fortify,rafforzare
verbs,C1,foster,incoraggiare/promuovere
verbs,C1,galvanize,stimolare/incitare
verbs,C1,garnish,guarnire/decorare
verbs,C1,gauge,misurare/stimare
verbs,C1,generalize,generalizzare
verbs,C1,generate,produrre/creare
verbs,C1,grapple,affrontare/lottare con
verbs,C1,harbor,nutrire (sentimenti)/rifugiare
verbs,C1,harness,sfruttare/utilizzare
verbs,C1,highlight,evidenziare/sottolineare
verbs,C1,hinder,ostacolare
verbs,C1,hone,affinare/migliorare
verbs,C1,illuminate,illuminare/spiegare chiaramente
verbs,C1,illustrate,illustrare/esemplificare
verbs,C1,implement,attuare
verbs,C1,impose,imporre
verbs,C1,incentivize,incentivare
verbs,C1,incorporate,integrare
verbs,C1,incriminate,accusare/coinvolgere in crimine
verbs,C1,indicate,indicare
verbs,C1,induce,indurre/causare
verbs,C1,inevitably,portare inevitabilmente a
verbs,C1,infer,dedurre
verbs,C1,influence,influenzare
verbs,C1,initiate,avviare/iniziare
verbs,C1,innovate,innovare
verbs,C1,inquire,informarsi/chiedere
verbs,C1,insinuate,insinuare/suggerire sottilmente
verbs,C1,integrate,integrare
verbs,C1,intensify,intensificare
verbs,C1,interpret,interpretare
verbs,C1,introduce,introdurre
verbs,C1,investigate,investigare
verbs,C1,invigorate,rinvigorire
verbs,C1,justify,giustificare
verbs,C1,legitimize,legittimare
verbs,C1,manipulate,manipolare
verbs,C1,mediate,mediare/risolvere conflitti
verbs,C1,mitigate,mitigare/attenuare
verbs,C1,monitor,monitorare
verbs,C1,motivate,motivare/incoraggiare
verbs,C1,navigate,orientarsi/gestire
verbs,C1,negotiate,negoziare
verbs,C1,nominate,designare/nominare
verbs,C1,normalize,normalizzare
verbs,C1,observe,osservare
verbs,C1,offset,compensare/bilanciare
verbs,C1,optimize,ottimizzare
verbs,C1,orchestrate,orchestrare/pianificare attentamente
verbs,C1,outline,tracciare/riassumere
nouns,C1,aberration,deviazione/anomalia
nouns,C1,acumen,intuito/prontezza mentale
nouns,C1,advocate,sostenitore/avvocato
nouns,C1,allegiance,lealtà/ fedeltà
nouns,C1,ambivalence,ambivalenza/incertezza
nouns,C1,anomaly,anomalia/irregolarità
nouns,C1,antithesis,antitesi/opposto
nouns,C1,apparatus,apparato/strumentazione
nouns,C1,appraisal,valutazione/giudizio
nouns,C1,aptitude,attitudine/abilità
nouns,C1,articulation,espressione/definizione
nouns,C1,ascendancy,ascendenza/superiorità
nouns,C1,aspiration,aspirazione/obiettivo
nouns,C1,assimilation,assimilazione/integrazione
nouns,C1,attribute,caratteristica/proprietà
nouns,C1,austerity,austerità/severità
nouns,C1,authenticity,autenticità
nouns,C1,aversion,avversione/antipatia
nouns,C1,benevolence,benevolenza/gentilezza
nouns,C1,brevity,brevità/sinteticità
nouns,C1,caliber,calibro/qualità
nouns,C1,capitulation,capitolazione/resa
nouns,C1,catalyst,catalizzatore/motore
nouns,C1,censure,censura/critica
nouns,C1,coherence,coesione/logica
nouns,C1,cohesion,coesione/unione
nouns,C1,collaboration,collaborazione
nouns,C1,commencement,inizio/apertura
nouns,C1,commodity,merce/bene
nouns,C1,compendium,compendio/riassunto
nouns,C1,competence,competenza/abilità
nouns,C1,connotation,connotazione/sfondo implicito
nouns,C1,consensus,consenso/accordo
nouns,C1,constituent,costituente/elemento
nouns,C1,convergence,convergenza/unione
nouns,C1,correlation,correlazione/connessione
nouns,C1,criterion,criterio/parametro
nouns,C1,culmination,culminazione/epilogo
nouns,C1,debacle,disastro/fallimento
nouns,C1,decipherment,decifrazione
nouns,C1,deviation,deviazione/irregolarità
nouns,C1,dichotomy,dicotomia/divisione
nouns,C1,discrepancy,discrepanza/incoerenza
nouns,C1,discretion,discrezione/libertà di giudizio
nouns,C1,dissemination,disseminazione/diffusione
nouns,C1,dissent,dissenso/opposizione
nouns,C1,divergence,divergenza/differenza
nouns,C1,dormancy,dormienza/inattività
nouns,C1,eccentricity,eccentricità/stranezza
nouns,C1,efficacy,efficacia
nouns,C1,elucidation,chiarimento/spiegazione
nouns,C1,emblem,emblema/simbolo
nouns,C1,empiricism,empirismo
nouns,C1,endeavor,sforzo/impegno
nouns,C1,enhancement,miglioramento/aumento
nouns,C1,enigma,enigma/mistero
nouns,C1,epiphany,epifania/rivelazione improvvisa
nouns,C1,epitome,epitome/esempio perfetto
nouns,C1,equilibrium,equilibrio/stabilità
nouns,C1,erratum,errore/correzione
nouns,C1,espousal,sostegno/appoggio
nouns,C1,ethos,ethos/cultura di valori
nouns,C1,exacerbation,peggioramento/aggravamento
nouns,C1,exemplification,esemplificazione
nouns,C1,exhortation,esortazione/incoraggiamento
nouns,C1,expedience,opportunità/praticità
nouns,C1,exposition,esposizione/spiegazione
nouns,C1,extremity,estremità/limite
nouns,C1,facilitation,facilitazione/semplificazione
nouns,C1,fervor,fervore/entusiasmo
nouns,C1,fluctuation,fluttuazione/variazione
nouns,C1,forefront,avanguardia/prima linea
nouns,C1,fortitude,fortezza/coraggio
nouns,C1,fragmentation,frammentazione/scomposizione
nouns,C1,gratification,soddisfazione/appagamento
nouns,C1,gregariousness,socialità/affabilità
nouns,C1,hierarchy,gerarchia/ordine
nouns,C1,homogeneity,omogeneità/uniformità
nouns,C1,hypothesis,ipotesi/teoria
nouns,C1,ideology,ideologia/sistema di idee
nouns,C1,implication,implicazione/conseguenza
nouns,C1,incidence,incidenza/frequenza
nouns,C1,inception,inizio/creazione
nouns,C1,incitement,incitamento/spinta
nouns,C1,incorporation,incorporazione/integrazione
nouns,C1,indignation,indignazione/rabbia morale
nouns,C1,inducement,incentivo/motivazione
nouns,C1,ineptitude,inefficienza/incompetenza
nouns,C1,inflection,inflessione/modulazione
nouns,C1,ingenuity,ingegno/creatività
nouns,C1,inheritance,ereditarietà/patrimonio
nouns,C1,innovation,innovazione/novità
nouns,C1,inquisition,inquisizione/indagine approfondita
nouns,C1,insight,intuizione/visione
nouns,C1,instigation,istigazione/provocazione
nouns,C1,intercession,intercessione/mediamento
nouns,C1,interplay,interazione/reciproco effetto
nouns,C1,intervention,intervento/azione
nouns,C1,intersection,intersezione/punto di incontro
nouns,C1,interventionism,interventismo/ingerenza
nouns,C1,introspection,introspezione/riflessione personale
nouns,C1,intricacy,complessità/fitta rete
nouns,C1,irrelevance,irrilevanza/non pertinenza
nouns,C1,judiciary,giudiziario/corte
nouns,C1,juxtaposition,giustapposizione/confronto
nouns,C1,lamentation,lamentazione/grido di dolore
nouns,C1,latentness,latenza/nascosto
nouns,C1,legitimacy,legittimità/autenticità
nouns,C1,liberation,liberazione/svincolo
nouns,C1,luminescence,luminescenza/brillio
nouns,C1,manifestation,manifestazione/espressione
nouns,C1,metamorphosis,metamorfosi/cambiamento radicale
nouns,C1,methodology,metodologia/procedura
nouns,C1,magnitude,magnitudine/importanza
nouns,C1,nuance,sfumatore/differenza sottile
nouns,C1,objectivity,obiettività/imparzialità
nouns,C1,obsolescence,obsolescenza/antiquatezza
nouns,C1,omission,omissione/dimenticanza
nouns,C1,opulence,opulenza/ricchezza
nouns,C1,paradigm,paradigma/modello
nouns,C1,paradox,paradosso/contraddizione
nouns,C1,partisan,partigiano/sostenitore
nouns,C1,perception,percezione/interpretazione
nouns,C1,perseverance,perseveranza/determinazione
nouns,C1,perspective,prospettiva/visione
nouns,C1,perturbation,perturbazione/disturbo
nouns,C1,phenomenon,fENOMENO/manifestazione
nouns,C1,predicament,predicament/situazione difficile
nouns,C1,prevalence,prevalenza/frequenza
nouns,C1,proclivity,tendenza/propensione
nouns,C1,proficiency,competenza/abilità
nouns,C1,proposition,proposta/affermazione
nouns,C1,propensity,propensione/inclinazione
nouns,C1,proximity,prossimità/vicinanza
nouns,C1,quandary,difficoltà/incertezza
nouns,C1,reciprocity,reciprocità/ritorno
nouns,C1,refinement,raffinatezza/miglioramento
nouns,C1,regulation,regolamento/controllo
nouns,C1,repercussion,repercussione/conseguenza
nouns,C1,resilience,resilienza/elasticità
nouns,C1,resonance,risonanza/eco
nouns,C1,retention,trattenimento/conservazione
nouns,C1,revelation,rivelazione/scoperta
nouns,C1,reverence,reverenza/rispetto profondo
nouns,C1,rhetoric,retrorica/arte del discorso
nouns,C1,sanction,sanzione/approvazione
nouns,C1,scrutiny,esame attento/indagine
nouns,C1,serendipity,serendipità/felice scoperta
nouns,C1,solitude,solitudine/isolamento
nouns,C1,sovereignty,sovranità/autonomia


