level,word,synonyms
C2,ubiquitous,omnipresent;pervasive;ever-present;all-pervading
C2,fecund,fruitful;prolific;fertile;productive
C2,fulsome,excessive;overdone;cloying;obsequious
C2,gainsay,deny;contradict;dispute;oppose
C2,gauche,awkward;clumsy;inelegant;tactless
C2,grandiose,magniloquent;pompous;pretentious;overblown
C2,hedge,qualify;limit;circumscribe;prevaricate
C2,hermetic,airtight;sealed;esoteric;recondite
C2,iconoclastic,unorthodox;heretical;subversive;irreverent
C2,idiosyncratic,individual;quirky;eccentric;peculiar
C2,impecunious,poor;destitute;penniless;indigent
C2,imperious,domineering;overbearing;peremptory;authoritative
C2,implacable,unyielding;inexorable;relentless;remorseless
C2,impugn,challenge;question;dispute;call into doubt
C2,inanity,emptiness;vacuity;fatuity;pointlessness
C2,incisive,acute;penetrating;trenchant;perspicacious
C2,incorrigible,irreformable;intractable;inveterate;irredeemable
C2,indelible,ineradicable;permanent;lasting;unforgettable
C2,indefatigable,tireless;untiring;unflagging;unremitting
C2,indict,charge;arraign;accuse;impeach
C2,ineluctable,inescapable;unavoidable;inevitable;inexorable
C2,ineffable,unspeakable;inexpressible;indescribable;transcendent
C2,inexorable,relentless;implacable;unstoppable;unrelenting
C2,infelicitous,inapt;inappropriate;ill-judged;maladroit
C2,ingratiate,flatter;court;curry favour;fawn
C2,iniquitous,unjust;wicked;nefarious;villainous
C2,inscrutable,impenetrable;enigmatic;unfathomable;opaque
C2,insipid,bland;dull;vapid;jejune
C2,insouciant,nonchalant;blithe;untroubled;carefree
C2,intransigent,uncompromising;unyielding;adamant;inflexible
C2,intrepid,fearless;valiant;undaunted;doughty
C2,inveterate,habitual;chronic;ingrained;diehard
C2,irascible,irritable;testy;choleric;short-tempered
C2,juxtapose,place side by side;contrast;collocate;align
C2,laconic,terse;succinct;concise;brief
C2,lambaste,criticize;castigate;denounce;upbraid
C2,limpid,clear;pellucid;transparent;lucid
C2,loquacious,talkative;garrulous;voluble;chatty
C2,lugubrious,mournful;gloomy;doleful;melancholic
C2,machination,plot;scheme;intrigue;conspiracy
C2,magnanimous,generous;noble;charitable;big-hearted
C2,mendacious,lying;dishonest;deceitful;duplicitous
C2,mercurial,volatile;capricious;changeable;fickle
C2,misconstrue,misinterpret;misread;mistake;garble
C2,mollify,soothe;placate;appease;assuage
C2,mordant,biting;caustic;acerbic;trenchant
C2,munificent,lavish;generous;bountiful;open-handed
C2,myopic,short-sighted;narrow;parochial;blinkered
C2,nefarious,wicked;villainous;heinous;iniquitous
C2,nonplussed,perplexed;baffled;confounded;stumped
C2,obdurate,stubborn;inflexible;adamant;unyielding
C2,obsequious,servile;sycophantic;toadying;ingratiating
C2,obstreperous,unruly;rowdy;boisterous;defiant
C2,obviate,preclude;forestall;prevent;avert
C2,odious,repugnant;abhorrent;detestable;loathsome
C2,opine,maintain;contend;argue;declare
C2,ossify,harden;stiffen;calcify;rigidify
C2,palliate,alleviate;mitigate;soften;ease
C2,panacea,cure-all;remedy;elixir;nostrum
C2,paragon,model;exemplar;ideal;nonpareil
C2,paramount,preeminent;supreme;chief;overriding
C2,pariah,outcast;untouchable;exile;leper
C2,parsimonious,stingy;mean;miserly;penurious
C2,partisan,biased;sectarian;one-sided;factional
C2,pejorative,derogatory;disparaging;belittling;deprecatory
C2,peremptory,dictatorial;imperious;brusque;authoritative
C2,perfunctory,mechanical;token;cursory;superficial
C2,pernicious,harmful;malignant;deleterious;baneful
C2,pertinacious,stubborn;tenacious;dogged;obstinate
C2,phlegmatic,calm;stolid;impassive;unflappable
C2,pithy,concise;laconic;succinct;terse
C2,platitude,banality;truism;commonplace;cliché
C2,plethora,excess;surfeit;profusion;overabundance
C2,plenary,complete;absolute;unqualified;full
C2,portend,foreshadow;presage;augur;betoken
C2,postulate,posit;assume;propose;hypothesise
C2,pragmatic,practical;down-to-earth;hard-headed;realistic
C2,precipitous,steep;abrupt;sheer;headlong
C2,prevaricate,evade;equivocate;shuffle;hedge
C2,proclivity,propensity;inclination;predilection;tendency
C2,profligate,wasteful;dissipated;licentious;extravagant
C2,prognosticate,predict;foretell;forecast;augur
C2,propitious,favourable;auspicious;advantageous;opportune
C2,pugnacious,combative;aggressive;truculent;belligerent
C2,punctilious,meticulous;scrupulous;fastidious;exact
C2,quixotic,impractical;idealistic;visionary;romantic
C2,quotidian,everyday;routine;workaday;mundane
C2,rarefied,esoteric;exclusive;highbrow;lofty
C2,redolent,evocative;reminiscent;aromatic;fragrant
C2,refractory,unmanageable;obstinate;intractable;headstrong
C2,relinquish,give up;cede;abdicate;waive
C2,remonstrate,protest;expostulate;object;argue
C2,renege,back out;retract;default;welch
C2,reprisal,retaliation;retribution;counterattack;revenge
C2,reprobate,rogue;degenerate;rascal;miscreant
C2,reprove,rebuke;admonish;reprimand;chide
C2,rescind,revoke;repeal;annul;invalidate
C2,reticent,reserved;tight-lipped;close-mouthed;unforthcoming
C2,reticent,withdrawn;guarded;restrained;uncommunicative
C2,salient,notable;prominent;remarkable;outstanding
C2,sanguine,optimistic;bullish;confident;hopeful
C2,sartorial,tailored;dress-related;vestimentary;apparel-based
C2,scurrilous,abusive;vituperative;defamatory;slanderous
C2,sedulous,assiduous;diligent;industrious;persevering
C2,sentient,conscious;aware;perceptive;alive
C2,serendipity,fluke;fortuity;chance;providence
C2,solicitous,concerned;attentive;mindful;considerate
C2,spurious,false;bogus;sham;specious
C2,stentorian,loud;booming;thunderous;sonorous
C2,stolid,impassive;phlegmatic;unemotional;placid
C2,supercilious,arrogant;haughty;snobbish;condescending
C2,superfluous,unnecessary;redundant;excess;surplus
C2,supplant,replace;supersede;oust;displace
C2,sycophant,toady;flatterer;yes-man;lickspittle
C2,taciturn,reserved;uncommunicative;reticent;close-mouthed
C2,tangential,peripheral;slightly relevant;digressive;off-topic
C2,trenchant,incisive;forceful;biting;acute
C2,turbid,murky;opaque;cloudy;thick
C2,truculent,aggressive;belligerent;pugnacious;hostile
C2,ubiquity,omnipresence;pervasiveness;widespreadness;prevalence
C2,unctuous,oily;smarmy;obsequious;ingratiating
C2,undergird,support;bolster;buttress;reinforce
C2,untoward,unfortunate;improper;inconvenient;adverse
C2,upbraid,rebuke;reproach;castigate;berate
C2,urbane,polished;suave;cultivated;debonair
C2,verdant,green;lush;leafy;grassy
C2,verisimilitude,plausibility;semblance;likelihood;realism
C2,vituperate,revile;rail;vilify;abuse
C2,voluble,loquacious;talkative;garrulous;glib
C2,wane,decline;diminish;ebb;abate
C2,wheedle,coax;cajole;persuade;blandish
C2,zealous,ardent;fervent;impassioned;enthusiastic
level,word,synonyms
C2,capitulate,surrender;yield;submit;concede
C2,perfunctory,superficial;mechanical;automatic;unthinking
C2,conflagration,inferno;blaze;firestorm;holocaust
C2,demagogue,agitator;rabble-rouser;instigator;firebrand
C2,esoteric,obscure;arcane;cryptic;enigmatic
C2,inscrutable,unfathomable;impenetrable;incomprehensible;enigmatic
C2,panacea,cure-all;remedy;elixir;nostrum
C2,quintessential,typical;archetypal;classic;model
C2,harangue,tirade;diatribe;rant;philippic
C2,tenuous,fragile;flimsy;weak;insubstantial
C2,supercilious,arrogant;haughty;condescending;patronizing
C2,phlegmatic,calm;unemotional;stoic;impassive
C2,egregious,outrageous;flagrant;atrocious;appalling
C2,antediluvian,outdated;archaic;primitive;obsolete
C2,duplicity,deceit;deception;fraud;dishonesty
C2,acrimonious,bitter;caustic;resentful;spiteful
C2,proclivity,penchant;inclination;predisposition;propensity
C2,mercurial,volatile;unpredictable;capricious;temperamental
C2,recalcitrant,obstinate;uncooperative;defiant;rebellious
C2,intransigent,unyielding;adamant;inflexible;obdurate
C2,munificent,generous;liberal;bountiful;open-handed
C2,nonplussed,bewildered;confused;perplexed;flustered
C2,fastidious,meticulous;exacting;fussy;particular
C2,indefatigable,tireless;unwearied;relentless;unyielding
C2,abstruse,complex;difficult;esoteric;obscure
C2,parsimonious,stingy;frugal;cheap;tightfisted
C2,convivial,festive;genial;friendly;companionable
C2,credulous,gullible;naïve;trustful;unsuspecting
C2,obsequious,servile;fawning;submissive;ingratiating
C2,iconoclast,heretic;rebel;radical;nonconformist
C2,officious,meddlesome;intrusive;interfering;overbearing
C2,sagacious,wise;shrewd;perceptive;astute
C2,ineluctable,inevitable;unavoidable;inescapable;certain
C2,redolent,evocative;reminiscent;fragrant;scented
C2,quotidian,daily;everyday;routine;commonplace
C2,vituperative,abusive;scathing;insulting;offensive
C2,apocryphal,doubtful;spurious;unverified;fictitious
C2,execrable,detestable;abhorrent;appalling;atrocious
C2,abrogate,abolish;annul;invalidate;repeal
C2,recondite,obscure;arcane;profound;enigmatic
C2,unassailable,invulnerable;indisputable;irrefutable;undeniable
C2,venal,corrupt;dishonorable;unscrupulous;bribable

