Category,Level,English,Italian
adjectives,C2,imperious,imperioso/autoritaro
adjectives,C2,impertinent,impertinente/sfacciato
adjectives,C2,implacable,implacabile/inflessibile
adjectives,C2,implicit,implicito/sottinteso
adjectives,C2,improbable,improbabile
adjectives,C2,incendiary,infiammatorio/sovversivo
adjectives,C2,incessant,incessante/continuo
adjectives,C2,inconspicuous,poco appariscente
adjectives,C2,indelible,indelebile/indimenticabile
adjectives,C2,indigent,indigente/povero
adjectives,C2,indignant,indignato
adjectives,C2,indispensable,indispensabile
adjectives,C2,indomitable,indomito/irriducibile
adjectives,C2,ineffable,ineffabile/indicibile
adjectives,C2,ineluctable,ineluttabile/inevitabile
adjectives,C2,inexorable,inesorabile
adjectives,C2,infinitesimal,infinitesimale/minutissimo
adjectives,C2,ingenious,ingegnoso/abile
adjectives,C2,ingrained,radicato/innato
adjectives,C2,inimical,nemico/ostile
adjectives,C2,innate,innato
adjectives,C2,insatiable,insaziabile
adjectives,C2,insipid,insipido/piatto
adjectives,C2,intrepid,intrepido
adjectives,C2,intricate,intricato/complesso
adjectives,C2,invaluable,inestimabile/impagabile
adjectives,C2,invidious,spiacevole/odioso
adjectives,C2,irascible,irascibile/facile all’ira
adjectives,C2,irenic,pacifico/conciliatore
adjectives,C2,irreconcilable,irreconciliabile
adjectives,C2,irreproachable,irreprensibile
adjectives,C2,irreverent,irriverente
adjectives,C2,jejune,banale/immaturo
adjectives,C2,jocular,giocoso/scherzoso
adjectives,C2,judicious,saggio/giudizioso
adjectives,C2,keen,acuto/entusiasta
adjectives,C2,lackadaisical,svogliato/indolente
adjectives,C2,laudable,lodevole
adjectives,C2,lenient,clemente/tollerante
adjectives,C2,lucid,lucido/chiaro
adjectives,C2,lugubrious,lugubre
adjectives,C2,magnanimous,magnanimo/generoso
adjectives,C2,malevolent,maligno/malevolo
adjectives,C2,malicious,malizioso/maligno
adjectives,C2,malignant,maligno/nocivo
adjectives,C2,mandatory,obbligatorio
adjectives,C2,manifold,molteplice/vario
adjectives,C2,marvelous,meraviglioso
adjectives,C2,melancholic,melanconico
adjectives,C2,mendacious,mendace/bugiardo
adjectives,C2,meticulous,meticoloso
adjectives,C2,momentous,storico/di grande importanza
adjectives,C2,morbid,morboso
adjectives,C2,mundane,banale/ordinario
adjectives,C2,myopic,miopico/ottuso
adjectives,C2,nebulous,nebuloso/indefinito
adjectives,C2,nefarious,nefando/scellerato
adjectives,C2,negligent,negligente
adjectives,C2,nonchalant,indifferente
adjectives,C2,notorious,notorio/famoso in negativo
adjectives,C2,nuanced,sfumato/sottile
adjectives,C2,obdurate,ostinato/irremovibile
adjectives,C2,oblivious,ignaro/distratto
adjectives,C2,obnoxious,odioso/sgradevole
adjectives,C2,obsequious,servile/ossequioso
adjectives,C2,obstinate,ostinato/testardo
adjectives,C2,onerous,oneroso/gravoso
adjectives,C2,opulent,opulento/lussuoso
adjectives,C2,ostensible,apparente
adjectives,C2,outrageous,oltraggioso/sconvolgente
adjectives,C2,overbearing,prepotente/autoritaro
adjectives,C2,overwhelming,travolgente/schiacciante
adjectives,C2,palpable,palpabile/evidente
adjectives,C2,paramount,preminente/fondamentale
adjectives,C2,parsimonious,parsimonioso/avaro
adjectives,C2,partisan,partigiano/fazioso
adjectives,C2,peevish,irritabile
adjectives,C2,penitent,penitente
adjectives,C2,peremptory,perentorio
adjectives,C2,perfidious,perfidio/traditore
adjectives,C2,perilous,pericoloso
adjectives,C2,pernicious,pernicioso/nocivo
adjectives,C2,pervasive,pervasivo
adjectives,C2,persistent,persistente/tenace
adjectives,C2,pertinent,pertinente/rilevante
adjectives,C2,petulant,petulante/scontroso
adjectives,C2,philanthropic,filantropico
adjectives,C2,picturesque,pittoresco
adjectives,C2,pious,pio/devoto
adjectives,C2,pithy,conciso/incisivo
adjectives,C2,placid,placido/tranquillo
adjectives,C2,plausible,plausibile/credibile
adjectives,C2,poignant,toccante/commovente
adjectives,C2,pompous,pomposo/altezzoso
adjectives,C2,ponderous,ponderoso/ingombrante
adjectives,C2,portentous,minaccioso/infausto
adjectives,C2,pragmatic,pragmatico
adjectives,C2,precarious,precario/instabile
adjectives,C2,precipitous,precipitoso/repentino
adjectives,C2,preeminent,preminente
adjectives,C2,preposterous,assurdo/illogico
adjectives,C2,pretentious,pretenzioso
adjectives,C2,prodigal,prodigale/spendaccione
adjectives,C2,proficient,abile/competente
adjectives,C2,profound,profondo
adjectives,C2,prohibitive,proibitivo/eccessivo
adjectives,C2,prolific,prolifico/fecondo
adjectives,C2,prosaic,prosaico/banale
adjectives,C2,prosperous,prospero/agiato
adjectives,C2,provident,previdente
adjectives,C2,pugnacious,polemico/bellicoso
adjectives,C2,punctilious,pignolo/precisino
adjectives,C2,quaint,strano/pittoresco
adjectives,C2,quarrelsome,litigioso
adjectives,C2,querulous,brontolone/lamentoso
adjectives,C2,quintessential,essenziale/archetipo
adjectives,C2,rancorous,rancoroso
adjectives,C2,rapacious,rapace/avido
adjectives,C2,raucous,raucous/stridulo
adjectives,C2,recalcitrant,recalcitrante/ostile
adjectives,C2,reclusive,schivo/isolato
adjectives,C2,redundant,ridondante/superfluo
adjectives,C2,reflective,riflessivo
adjectives,C2,refractory,refrattario/resistente
adjectives,C2,regal,regale/maestoso
verbs,C2,abet,istigare/incoraggiare (qualcosa di negativo)
verbs,C2,abhor,detestare/aborrire
verbs,C2,acquiesce,acconsentire senza obiezioni
verbs,C2,admonish,ammonire/avvertire
verbs,C2,allude,alludere
verbs,C2,amplify,amplificare/ingrandire
verbs,C2,appease,placare/conciliarsi
verbs,C2,arrogate,arrogarsi
verbs,C2,ascertain,accertare/verificare
verbs,C2,assail,assalire/attaccare
verbs,C2,asseverate,asserire/affermare con forza
verbs,C2,attenuate,attenuare/indebolire
verbs,C2,belabor,insistere eccessivamente
verbs,C2,berate,sgridare/aspramente rimproverare
verbs,C2,beseech,supplicare
verbs,C2,bolster,sostenere/rafforzare
verbs,C2,brandish,brandire/mostrare minacciosamente
verbs,C2,broach,introdurre (un argomento delicato)
verbs,C2,bungle,mandare all’aria/maldestramente gestire
verbs,C2,castigate,castigare/punire severamente
verbs,C2,champion,battersi per/difendere
verbs,C2,chastise,castigare/criticare duramente
verbs,C2,coerce,coercizzare/costringere
verbs,C2,collude,colludere
verbs,C2,concede,concedere/ammettere
verbs,C2,condone,condonare/tollerare
verbs,C2,confer,conferire/discutere
verbs,C2,connive,complottare/chiudere un occhio
verbs,C2,construe,interpretare
verbs,C2,contend,contendere/sostenere
verbs,C2,contravene,contravvenire/violare
verbs,C2,corroborate,corroborare/confermare
verbs,C2,covet,bramare/desiderare
verbs,C2,curtail,limitare/ridurre
verbs,C2,decry,denunciare/pubblicamente criticare
verbs,C2,defuse,disinnescare
verbs,C2,delve,scavare/indagare a fondo
verbs,C2,denigrate,denigrare
verbs,C2,depict,raffigurare/desrivere
verbs,C2,deplete,esaurire/depletare
verbs,C2,deride,deridere
verbs,C2,detest,detestare
verbs,C2,disparage,screditare/sminuire
verbs,C2,dissuade,disuadere
verbs,C2,divulge,divulgare/rivelare
verbs,C2,elicit,evocare/ottenere
verbs,C2,embezzle,appropriarsi indebitamente
verbs,C2,endorse,sostenere/patrocinare
verbs,C2,engender,generare/provocare
verbs,C2,enthrall,incantare/affascinare
verbs,C2,entreat,supplicare/implorare
verbs,C2,enumerate,elencare
verbs,C2,eradicate,eradicare/eliminare
verbs,C2,eschew,evitare/astenersi
verbs,C2,espouse,sposare (un’idea)/adottare
verbs,C2,exacerbate,esacerbare/peggiorare
verbs,C2,exalt,esaltare
verbs,C2,excoriate,criticare ferocemente
verbs,C2,exhort,esortare
verbs,C2,expedite,accelerare/sveltire
verbs,C2,extol,esaltare/lodare
verbs,C2,extrapolate,estrapolare
verbs,C2,fabricate,fabbricare/inventare
verbs,C2,facilitate,facilitare
verbs,C2,feign,simulare/fingere
verbs,C2,flounder,barcollare/essere in difficoltà
verbs,C2,forestall,prevenire/anticipare
verbs,C2,foster,favorire/incoraggiare
verbs,C2,frustrate,frustrare/ostacolare
verbs,C2,gainsay,negare/contraddire
verbs,C2,galvanize,galvanizzare/stimolare
verbs,C2,garner,raccogliere/ottenere
verbs,C2,goad,stimolare/istigare
verbs,C2,hamper,intralciare/ostacolare
verbs,C2,harangue,arringare/rimproverare
verbs,C2,heed,prestare attenzione
verbs,C2,hinder,intralciare/ostacolare
verbs,C2,hone,affilare/perfezionare
verbs,C2,illuminate,illuminare/chiarire
verbs,C2,imbue,imbevere/influenzare
verbs,C2,impede,impedire/ostacolare
verbs,C2,implore,implorare
verbs,C2,impute,imputare/attribuire
verbs,C2,incriminate,incriminare
verbs,C2,inculcate,inculcare
verbs,C2,indict,incriminare/accusare formalmente
verbs,C2,indoctrinate,indottrinare
verbs,C2,indulge,assecondare/viziarsi
verbs,C2,infuriate,infuriare
verbs,C2,ingratiate,ingraziarsi
verbs,C2,instigate,istigare/provocare
verbs,C2,intertwine,intrecciare
verbs,C2,invigorate,vivificare/tonificare
verbs,C2,jeopardize,mettere in pericolo
verbs,C2,jettison,gettare via/scaricare
verbs,C2,juxtapose,giustapporre/affiancare
verbs,C2,lament,compiangere/lamentarsi
verbs,C2,laud,lodare
verbs,C2,levy,imporre (una tassa)
verbs,C2,linger,indugiare/trattenersi
verbs,C2,loiter,bighellonare
verbs,C2,lure,adescare/attirare
verbs,C2,mar,rovinare/danneggiare
verbs,C2,meander,serpeggiare/vagare senza meta
verbs,C2,meddle,intromettersi
verbs,C2,mediate,mediare
verbs,C2,mitigate,mitigare/attenuare
verbs,C2,mollify,placare/mitigare
verbs,C2,mount,allestire/salire
verbs,C2,muster,radunare/raccogliere
verbs,C2,negate,negare
verbs,C2,negotiate,negoziare/trattare
verbs,C2,obliterate,obliterare/cancellare
verbs,C2,obscure,oscurare/nascondere
verbs,C2,obstruct,ostruire/bloccare
verbs,C2,oscillate,oscillare
verbs,C2,ostracize,ostracizzare/escludere
verbs,C2,overcome,sopraffare/superare
verbs,C2,overhaul,revisionare/stravolgere
verbs,C2,overtake,sorpassare/sopraffare
verbs,C2,parry,parare/schivare
verbs,C2,perish,perire
verbs,C2,permeate,permeare/diffondersi
verbs,C2,perpetuate,perpetuare
verbs,C2,perturb,turbare/sconvolgere
verbs,C2,placate,placare
verbs,C2,plummet,precipitare
verbs,C2,ponder,ponderare/meditare
verbs,C2,postulate,postulare/ipotizzare
verbs,C2,preclude,precludere
verbs,C2,procrastinate,procrastinare
verbs,C2,procure,procurare/ottenere
verbs,C2,proliferate,proliferare
verbs,C2,propagate,propagare/diffondere
verbs,C2,proselytize,proselitizzare
verbs,C2,provoke,provocare
verbs,C2,purge,purificare/epurare
verbs,C2,quell,sedare/reprimere
verbs,C2,quibble,cavillare
verbs,C2,quiver,tremolare/fremere
verbs,C2,ramble,divagare
verbs,C2,raze,radere al suolo
verbs,C2,rebut,confutare/rigettare
verbs,C2,reconcile,riconciliare
verbs,C2,recount,raccontare
verbs,C2,reiterate,reiterare
verbs,C2,relent,cedere/placarsi
verbs,C2,relinquish,cedere/abbandonare
verbs,C2,remonstrate,protestare/contestare
verbs,C2,renounce,rinunciare
verbs,C2,repeal,abrogare
verbs,C2,repel,respingere/repellere
verbs,C2,repress,reprimere
verbs,C2,reproach,rimproverare
verbs,C2,repudiate,ripudiare/rigettare
verbs,C2,rescind,rescindere
verbs,C2,restrain,trattenere/limitare
verbs,C2,retaliate,ritorsione/contrattaccare
verbs,C2,retain,trattenere/mantenere
verbs,C2,ruminate,ruminare/meditare
verbs,C2,safeguard,tutelare/proteggere
verbs,C2,satiate,saziare
verbs,C2,scoff,deridere/schernire
verbs,C2,scorn,disprezzare
verbs,C2,sear,bruciare/scottare
verbs,C2,secure,assicurare/garantire
verbs,C2,seize,afferrare/impossessarsi
verbs,C2,shirk,sottrarsi/sfuggire
verbs,C2,shun,evitare/schivare
verbs,C2,skulk,sgattaiolare/nascondersi
verbs,C2,smother,soffocare
verbs,C2,soothe,lenire/calmar
verbs,C2,spawn,generare/dare origine
verbs,C2,spurn,disdegnare/rifiutare
verbs,C2,squander,sprecare
verbs,C2,stagger,barcollare
verbs,C2,stifle,soffocare/reprimere
verbs,C2,stumble,inciampare
verbs,C2,subdue,sottomettere/domare
verbs,C2,substantiate,sostenere/provare
verbs,C2,succumb,soccombere
verbs,C2,sunder,separare/dividere
verbs,C2,supersede,sostituire
verbs,C2,taunt,schernire/provocare
verbs,C2,thwart,frustrare/sventare
verbs,C2,torment,tormentare
verbs,C2,transcend,trascendere
verbs,C2,transfix,trafiggere/folgorare
verbs,C2,transmute,trasmutare/trasformare
verbs,C2,traverse,attraversare
verbs,C2,trespass,violare/oltrepassare
verbs,C2,truncate,troncate/abbreviare
verbs,C2,undermine,indebolire/minare
verbs,C2,undertake,intraprendere
verbs,C2,unearth,portare alla luce
verbs,C2,upbraid,sgridare/criticare
verbs,C2,usurp,usurpare
verbs,C2,venerate,venerare
verbs,C2,verge,tendere verso/essere in procinto
verbs,C2,vilify,vilipendere/denigrare
nouns,C2,acrimony,astio/acidità nei rapporti
nouns,C2,adversary,avversario
nouns,C2,affluence,ricchezza/benessere
nouns,C2,alacrity,sollecitudine/vivacità
nouns,C2,allegiance,lealtà/fedeltà
nouns,C2,ambiguity,ambiguità
nouns,C2,animosity,animosità/ostilità
nouns,C2,antagonism,antagonismo
nouns,C2,apathy,apatia
nouns,C2,appeasement,accomodamento/conciliazione
nouns,C2,apprehension,apprensione
nouns,C2,arbitration,arbitrato
nouns,C2,ardor,ardore
nouns,C2,aspiration,aspirazione
nouns,C2,assent,assenso
nouns,C2,assiduity,assiduità
nouns,C2,atrocity,atrocità
nouns,C2,austerity,austerità/rigore
nouns,C2,avarice,avarizia
nouns,C2,backlash,reazione negativa
nouns,C2,bane,rovina/maleficio
nouns,C2,bellicosity,bellicosità
nouns,C2,benevolence,benevolenza
nouns,C2,brevity,brevità
nouns,C2,cacophony,cacofonia
nouns,C2,camaraderie,camraderia/spirito di gruppo
nouns,C2,candor,franchezza/sincerità
nouns,C2,caprice,capriccio
nouns,C2,cessation,cessazione
nouns,C2,clairvoyance,chiaroveggenza
nouns,C2,clout,influenza/potere
nouns,C2,coercion,coercizione
nouns,C2,commotion,agitazione/trambusto
nouns,C2,complacency,compiacenza
nouns,C2,complicity,complicità
nouns,C2,conjecture,congettura
nouns,C2,contention,contesa
nouns,C2,contrition,contrizione
nouns,C2,conundrum,enigma/rompicapo
nouns,C2,conviction,convinzione/condanna
nouns,C2,corollary,corollario
nouns,C2,counterpart,controparte
nouns,C2,covetousness,avidità/bramosia
nouns,C2,credulity,credulità
nouns,C2,culmination,culmine/apice
nouns,C2,cunning,astuzia
nouns,C2,dearth,penuria/scarsità
nouns,C2,debacle,disfatta
nouns,C2,debauchery,corruzione/sfacciataggine
nouns,C2,decadence,decadenza
nouns,C2,decree,decreto
nouns,C2,defamation,diffamazione
nouns,C2,deference,deferenza
nouns,C2,delineation,delineazione
nouns,C2,delusion,illusione/inganno
nouns,C2,demise,trapasso/cessazione
nouns,C2,denizen,abitante
nouns,C2,dereliction,abbandono/negligenza
nouns,C2,despondency,scoraggiamento
nouns,C2,deterrent,deterrente
nouns,C2,dexterity,destrezza
nouns,C2,dichotomy,dicotomia
nouns,C2,disarray,disordine
nouns,C2,discrepancy,discrepanza
nouns,C2,disdain,disdegno
nouns,C2,disparity,disparità
nouns,C2,disrepute,cattiva fama
nouns,C2,dissemination,disseminazione
nouns,C2,dissonance,dissonanza
nouns,C2,distortion,distorsione
nouns,C2,divergence,divergenza
nouns,C2,divestiture,disinvestimento
nouns,C2,docility,docilità
nouns,C2,eloquence,eloquenza
nouns,C2,embezzlement,appropriazione indebita
nouns,C2,encumbrance,onere/impedimento
nouns,C2,enmity,inimicizia
nouns,C2,entreaty,supplica
nouns,C2,epitome,epitome/modello
nouns,C2,equivocation,equivoco
nouns,C2,erudition,erudizione
nouns,C2,espionage,spionaggio
nouns,C2,exasperation,esasperazione
nouns,C2,exhortation,esortazione
nouns,C2,expenditure,spesa
nouns,C2,fallacy,fallacia/inganno
nouns,C2,famine,carestia
nouns,C2,fatigue,stanchezza
nouns,C2,fervor,fervore
nouns,C2,flair,fiuto/talento
nouns,C2,fluke,colpo di fortuna
nouns,C2,forbearance,pazienza/tolleranza
nouns,C2,foresight,lungimiranza
nouns,C2,fortitude,forza d’animo
nouns,C2,fraud,frode
nouns,C2,frenzy,delirio/frenesia
nouns,C2,frivolity,frivolezza
nouns,C2,gaiety,allegria
nouns,C2,gallantry,galanteria/coraggio
nouns,C2,grievance,doganal/risentimento
nouns,C2,gullibility,ingenuità
nouns,C2,hardship,difficoltà/disagio
nouns,C2,havoc,devastazione
nouns,C2,heresy,eresia
nouns,C2,hiatus,interruzione/pausa
nouns,C2,hindrance,ostacolo
nouns,C2,hoax,bufala/inganno
nouns,C2,hospitality,ospitalità
nouns,C2,hypocrisy,ipocrisia
nouns,C2,iconoclast,iconoclasta
nouns,C2,ignominy,ignominia
nouns,C2,illicitness,illegalità
nouns,C2,impartiality,imparzialità
nouns,C2,impeachment,impeachment/messa in stato d’accusa
nouns,C2,impediment,impedimento
nouns,C2,impetus,impulso
nouns,C2,impropriety,indecenza/irregolarità
nouns,C2,inadvertence,disattenzione
nouns,C2,incarceration,incarcerazione
nouns,C2,incendiary,incendiario
nouns,C2,inception,iniziò
nouns,C2,incursion,incursione
nouns,C2,indignation,indignazione
nouns,C2,indolence,indolenza
nouns,C2,ineptitude,inefficacia/incapacità
nouns,C2,inference,inferenza/deduzione
nouns,C2,infraction,infrazione
nouns,C2,ingenuity,ingegno
nouns,C2,iniquity,iniquità/ingiustizia
nouns,C2,innuendo,allusione/malizia
nouns,C2,insight,intuizione/comprensione profonda
nouns,C2,insolence,insolenza
nouns,C2,instinct,istinto
nouns,C2,insurgence,insurrezione
nouns,C2,interplay,interazione
nouns,C2,intervention,intervento
nouns,C2,intimacy,intimità
nouns,C2,intuition,intuizione
nouns,C2,irk,fastidio
nouns,C2,irony,ironia
nouns,C2,juncture,frangente/momento critico
nouns,C2,kinship,parentela/affinità
nouns,C2,laureate,laureato/insignito di premio
nouns,C2,leniency,clemenza/tolleranza
nouns,C2,lethargy,letargia
nouns,C2,levity,leggerezza/superficialità
nouns,C2,liability,responsabilità
nouns,C2,longevity,longevità
nouns,C2,lull,pausa/intervallo
nouns,C2,lure,richiamo/attrattiva
nouns,C2,malice,malizia
nouns,C2,malaise,malessere
nouns,C2,manipulation,manipolazione
nouns,C2,marvel,meraviglia
nouns,C2,mediocrity,mediocrità
nouns,C2,mendacity,menzogna
nouns,C2,metamorphosis,metamorfosi
nouns,C2,mettle,tempra/coraggio
nouns,C2,momentum,slancio
nouns,C2,moratorium,moratoria
nouns,C2,munificence,munificenza/generosità
nouns,C2,myopia,miopia/ottusità
nouns,C2,negligence,negligenza
nouns,C2,nepotism,nepotismo
nouns,C2,nonchalance,indifferenza/disinvoltura
nouns,C2,nostalgia,nostalgia
nouns,C2,notoriety,notorietà negativa
nouns,C2,nuance,sfumatura
nouns,C2,oblivion,oblio
nouns,C2,obscurity,oscurità
nouns,C2,obstinacy,ostinazione
nouns,C2,odyssey,odissea
nouns,C2,onslaught,assalto
nouns,C2,opulence,opulenza
nouns,C2,ordeal,prova/difficoltà
nouns,C2,ostentation,ostentazione
nouns,C2,outrage,oltraggio/indignazione
nouns,C2,overture,overture/proposta
nouns,C2,paradigm,paradigma
nouns,C2,paradox,paradosso
nouns,C2,parsimony,parsimonia
nouns,C2,patronage,patrocinio/protezione
nouns,C2,peasantry,contadinanza
nouns,C2,penchant,inclinazione/tendenza
nouns,C2,penury,indigenza
nouns,C2,peril,pericolo
nouns,C2,perjury,menzogna sotto giuramento
nouns,C2,perpetrator,perpetratore/autore
nouns,C2,perplexity,perplessità
nouns,C2,perseverance,perseveranza
nouns,C2,perturbation,perturbazione/turbamento
nouns,C2,piety,pietà/devozione
nouns,C2,pinnacle,apice
nouns,C2,plight,sventura
nouns,C2,poignancy,intensità/emozione profonda
nouns,C2,posterity,posterità
nouns,C2,precursor,precursore
nouns,C2,preeminence,preminenza
nouns,C2,prejudice,pregiudizio
nouns,C2,pretext,pretesto
