C2,lop off,to cut off quickly
C2,lord it over,to act as if you are more important
level,verb,meaning
C2,act upon,take action based on information or advice
C2,bear upon,be relevant or have an effect on something
C2,boil over,escalate uncontrollably (conflict, crisis)
C2,boil down to,reduce to the essential point
C2,branch off,diverge from a main route or subject
C2,brush aside,dismiss as unimportant
C2,brush off,ignore or treat lightly
C2,cast aside,abandon or discard deliberately
C2,cast off,get rid of something no longer wanted
C2,clamp down on,act firmly to suppress or control
C2,claw back,regain something, especially money, with difficulty
C2,cloud over,become obscured or unclear
C2,come about,happen or occur (formal/literary)
C2,come forward,offer help or evidence
C2,conjure up,evoke or create an image or idea
C2,cough up,reluctantly give money or information
C2,crack down on,take strong measures against
C2,creep in,gradually and subtly begin to appear
C2,creep up on,approach unnoticed or unexpectedly
C2,cut across,affect different groups equally / contradict
C2,cut out for,be suited for something
C2,dispense with,manage without something unnecessary
C2,drag on,last longer than expected or desired
C2,drag out,prolong unnecessarily
C2,dream up,invent or imagine, often unexpectedly
C2,dwell on,think about excessively
C2,eat away at,gradually erode or damage
C2,edge out,gradually force someone out
C2,egg on,encourage to do something foolish
C2,eke out,make a small supply last with effort
C2,embark on,begin something significant or challenging
C2,enter into,formally begin an agreement or discussion
C2,face up to,confront and accept a difficult reality
C2,fall back on,use as a last resort
C2,fall through,fail to happen
C2,ferret out,discover with persistent searching
C2,fight back,resist or defend oneself
C2,fritter away,waste time or resources carelessly
C2,flesh out,add detail to make more complete
C2,gloss over,avoid mentioning something unpleasant
C2,gnaw at,disturb or worry continuously
C2,grind away,work persistently and tediously
C2,hammer out,reach agreement after negotiation
C2,hash out,discuss thoroughly to reach resolution
C2,hold off,delay or keep something away
C2,hone in on,focus intently on
C2,key in on,give special attention to
C2,knuckle down,apply oneself seriously to work
C2,lash out,attack verbally or physically
C2,lay into,criticise or attack severely
C2,lay out,present or arrange systematically
C2,leaf through,look quickly through a book or pages
C2,level off,stabilize after rise or fall
C2,light upon,discover or notice unexpectedly
C2,live down,make people forget a past mistake
C2,lock horns,enter into conflict
C2,lop off,cut off quickly
C2,lord it over,act superior to
C2,miss out on,fail to benefit from something
C2,mull over,think about carefully
C2,nail down,establish or confirm definitely
C2,pan out,develop in a particular way, succeed or fail
C2,peg back,restrict progress or growth
C2,phase in,introduce gradually
C2,phase out,eliminate gradually
C2,play off,use differences to gain advantage
C2,play up,exaggerate importance of
C2,plough through,work laboriously through something
C2,plough into,invest heavily or crash violently into
C2,polish off,finish something quickly and efficiently
C2,press for,insistently demand
C2,press on,continue with determination
C2,prop up,support to prevent collapse
C2,ratchet up,increase intensity or amount step by step
C2,root out,discover and eliminate completely
C2,rope in,persuade someone to help
C2,rule out,eliminate as a possibility
C2,run up against,encounter difficulties
C2,sail through,complete something with ease
C2,scrape by,manage with very little
C2,see off,defeat an opponent or send someone away
C2,see through,perceive the truth / support until end
C2,shore up,support an institution, idea or system
C2,shrug off,ignore or treat lightly
C2,spin off,create something new from existing
C2,stamp out,eradicate completely
C2,stave off,prevent temporarily
C2,stem from,originate from
C2,step down,resign from an official position
C2,stumble upon,discover by chance
C2,talk down,undermine by speaking dismissively
C2,thrash out,discuss thoroughly until resolved
C2,tie in with,connect or be consistent with
C2,toss up,decide by chance (figurative/rare)
C2,ward off,repel or prevent
C2,whittle down,reduce gradually
C2,wring out,extract something with effort
C2,zero in on,direct all focus towards
C2,zoom in on,focus closely on
C2,zoom out,view from a broader perspective
