level,verb,tense,1s,2s,3s,1p,2p,3p
B2,Advise,Past Simple,I advised,you advised,he/she/it advised,we advised,you advised,they advised
B2,Advise,Past Continuous,I was advising,you were advising,he/she/it was advising,we were advising,you were advising,they were advising
B2,Advise,Past Perfect Simple,I had advised,you had advised,he/she/it had advised,we had advised,you had advised,they had advised
B2,Advise,Past Perfect Continuous,I had been advising,you had been advising,he/she/it had been advising,we had been advising,you had been advising,they had been advising
B2,Advise,Future Simple,I will advise,you will advise,he/she/it will advise,we will advise,you will advise,they will advise
B2,Advise,Future Continuous,I will be advising,you will be advising,he/she/it will be advising,we will be advising,you will be advising,they will be advising
B2,Advise,Future Perfect Simple,I will have advised,you will have advised,he/she/it will have advised,we will have advised,you will have advised,they will have advised
B2,Advise,Future Perfect Continuous,I will have been advising,you will have been advising,he/she/it will have been advising,we will have been advising,you will have been advising,they will have been advising
B2,Affect,Present Simple,I affect,you affect,he/she/it affects,we affect,you affect,they affect
B2,Affect,Present Continuous,I am affecting,you are affecting,he/she/it is affecting,we are affecting,you are affecting,they are affecting
B2,Affect,Present Perfect,I have affected,you have affected,he/she/it has affected,we have affected,you have affected,they have affected
B2,Affect,Present Perfect Continuous,I have been affecting,you have been affecting,he/she/it has been affecting,we have been affecting,you have been affecting,they have been affecting
B2,Affect,Past Simple,I affected,you affected,he/she/it affected,we affected,you affected,they affected
B2,Affect,Past Continuous,I was affecting,you were affecting,he/she/it was affecting,we were affecting,you were affecting,they were affecting
B2,Affect,Past Perfect Simple,I had affected,you had affected,he/she/it had affected,we had affected,you had affected,they had affected
B2,Affect,Past Perfect Continuous,I had been affecting,you had been affecting,he/she/it had been affecting,we had been affecting,you had been affecting,they had been affecting
B2,Affect,Future Simple,I will affect,you will affect,he/she/it will affect,we will affect,you will affect,they will affect
B2,Affect,Future Continuous,I will be affecting,you will be affecting,he/she/it will be affecting,we will be affecting,you will be affecting,they will be affecting
B2,Affect,Future Perfect Simple,I will have affected,you will have affected,he/she/it will have affected,we will have affected,you will have affected,they will have affected
B2,Affect,Future Perfect Continuous,I will have been affecting,you will have been affecting,he/she/it will have been affecting,we will have been affecting,you will have been affecting,they will have been affecting
B2,Allege,Present Simple,I allege,you allege,he/she/it alleges,we allege,you allege,they allege
B2,Allege,Present Continuous,I am alleging,you are alleging,he/she/it is alleging,we are alleging,you are alleging,they are alleging
B2,Allege,Present Perfect,I have alleged,you have alleged,he/she/it has alleged,we have alleged,you have alleged,they have alleged
B2,Allege,Present Perfect Continuous,I have been alleging,you have been alleging,he/she/it has been alleging,we have been alleging,you have been alleging,they have been alleging
B2,Allege,Past Simple,I alleged,you alleged,he/she/it alleged,we alleged,you alleged,they alleged
B2,Allege,Past Continuous,I was alleging,you were alleging,he/she/it was alleging,we were alleging,you were alleging,they were alleging
B2,Allege,Past Perfect Simple,I had alleged,you had alleged,he/she/it had alleged,we had alleged,you had alleged,they had alleged
B2,Allege,Past Perfect Continuous,I had been alleging,you had been alleging,he/she/it had been alleging,we had been alleging,you had been alleging,they had been alleging
B2,Allege,Future Simple,I will allege,you will allege,he/she/it will allege,we will allege,you will allege,they will allege
B2,Allege,Future Continuous,I will be alleging,you will be alleging,he/she/it will be alleging,we will be alleging,you will be alleging,they will be alleging
B2,Allege,Future Perfect Simple,I will have alleged,you will have alleged,he/she/it will have alleged,we will have alleged,you will have alleged,they will have alleged
B2,Allege,Future Perfect Continuous,I will have been alleging,you will have been alleging,he/she/it will have been alleging,we will have been alleging,you will have been alleging,they will have been alleging
B2,Amend,Present Simple,I amend,you amend,he/she/it amends,we amend,you amend,they amend
B2,Amend,Present Continuous,I am amending,you are amending,he/she/it is amending,we are amending,you are amending,they are amending
B2,Amend,Present Perfect,I have amended,you have amended,he/she/it has amended,we have amended,you have amended,they have amended
B2,Amend,Present Perfect Continuous,I have been amending,you have been amending,he/she/it has been amending,we have been amending,you have been amending,they have been amending
B2,Amend,Past Simple,I amended,you amended,he/she/it amended,we amended,you amended,they amended
B2,Amend,Past Continuous,I was amending,you were amending,he/she/it was amending,we were amending,you were amending,they were amending
B2,Amend,Past Perfect Simple,I had amended,you had amended,he/she/it had amended,we had amended,you had amended,they had amended
B2,Amend,Past Perfect Continuous,I had been amending,you had been amending,he/she/it had been amending,we had been amending,you had been amending,they had been amending
B2,Amend,Future Simple,I will amend,you will amend,he/she/it will amend,we will amend,you will amend,they will amend
B2,Amend,Future Continuous,I will be amending,you will be amending,he/she/it will be amending,we will be amending,you will be amending,they will be amending
B2,Amend,Future Perfect Simple,I will have amended,you will have amended,he/she/it will have amended,we will have amended,you will have amended,they will have amended
B2,Amend,Future Perfect Continuous,I will have been amending,you will have been amending,he/she/it will have been amending,we will have been amending,you will have been amending,they will have been amending
B2,Anticipate,Present Simple,I anticipate,you anticipate,he/she/it anticipates,we anticipate,you anticipate,they anticipate
B2,Anticipate,Present Continuous,I am anticipating,you are anticipating,he/she/it is anticipating,we are anticipating,you are anticipating,they are anticipating
B2,Anticipate,Present Perfect,I have anticipated,you have anticipated,he/she/it has anticipated,we have anticipated,you have anticipated,they have anticipated
B2,Anticipate,Present Perfect Continuous,I have been anticipating,you have been anticipating,he/she/it has been anticipating,we have been anticipating,you have been anticipating,they have been anticipating
B2,Anticipate,Past Simple,I anticipated,you anticipated,he/she/it anticipated,we anticipated,you anticipated,they anticipated
B2,Anticipate,Past Continuous,I was anticipating,you were anticipating,he/she/it was anticipating,we were anticipating,you were anticipating,they were anticipating
B2,Anticipate,Past Perfect Simple,I had anticipated,you had anticipated,he/she/it had anticipated,we had anticipated,you had anticipated,they had anticipated
B2,Anticipate,Past Perfect Continuous,I had been anticipating,you had been anticipating,he/she/it had been anticipating,we had been anticipating,you had been anticipating,they had been anticipating
B2,Anticipate,Future Simple,I will anticipate,you will anticipate,he/she/it will anticipate,we will anticipate,you will anticipate,they will anticipate
B2,Anticipate,Future Continuous,I will be anticipating,you will be anticipating,he/she/it will be anticipating,we will be anticipating,you will be anticipating,they will be anticipating
B2,Anticipate,Future Perfect Simple,I will have anticipated,you will have anticipated,he/she/it will have anticipated,we will have anticipated,you will have anticipated,they will have anticipated
B2,Anticipate,Future Perfect Continuous,I will have been anticipating,you will have been anticipating,he/she/it will have been anticipating,we will have been anticipating,you will have been anticipating,they will have been anticipating
B2,Appoint,Present Simple,I appoint,you appoint,he/she/it appoints,we appoint,you appoint,they appoint
B2,Appoint,Present Continuous,I am appointing,you are appointing,he/she/it is appointing,we are appointing,you are appointing,they are appointing
B2,Appoint,Present Perfect,I have appointed,you have appointed,he/she/it has appointed,we have appointed,you have appointed,they have appointed
B2,Appoint,Present Perfect Continuous,I have been appointing,you have been appointing,he/she/it has been appointing,we have been appointing,you have been appointing,they have been appointing
B2,Appoint,Past Simple,I appointed,you appointed,he/she/it appointed,we appointed,you appointed,they appointed
B2,Appoint,Past Continuous,I was appointing,you were appointing,he/she/it was appointing,we were appointing,you were appointing,they were appointing
B2,Appoint,Past Perfect Simple,I had appointed,you had appointed,he/she/it had appointed,we had appointed,you had appointed,they had appointed
B2,Appoint,Past Perfect Continuous,I had been appointing,you had been appointing,he/she/it had been appointing,we had been appointing,you had been appointing,they had been appointing
B2,Appoint,Future Simple,I will appoint,you will appoint,he/she/it will appoint,we will appoint,you will appoint,they will appoint
B2,Appoint,Future Continuous,I will be appointing,you will be appointing,he/she/it will be appointing,we will be appointing,you will be appointing,they will be appointing
B2,Appoint,Future Perfect Simple,I will have appointed,you will have appointed,he/she/it will have appointed,we will have appointed,you will have appointed,they will have appointed
B2,Appoint,Future Perfect Continuous,I will have been appointing,you will have been appointing,he/she/it will have been appointing,we will have been appointing,you will have been appointing,they will have been appointing
B2,Appreciate,Present Simple,I appreciate,you appreciate,he/she/it appreciates,we appreciate,you appreciate,they appreciate
B2,Appreciate,Present Continuous,I am appreciating,you are appreciating,he/she/it is appreciating,we are appreciating,you are appreciating,they are appreciating
B2,Appreciate,Present Perfect,I have appreciated,you have appreciated,he/she/it has appreciated,we have appreciated,you have appreciated,they have appreciated
B2,Appreciate,Present Perfect Continuous,I have been appreciating,you have been appreciating,he/she/it has been appreciating,we have been appreciating,you have been appreciating,they have been appreciating
B2,Appreciate,Past Simple,I appreciated,you appreciated,he/she/it appreciated,we appreciated,you appreciated,they appreciated
B2,Appreciate,Past Continuous,I was appreciating,you were appreciating,he/she/it was appreciating,we were appreciating,you were appreciating,they were appreciating
B2,Appreciate,Past Perfect Simple,I had appreciated,you had appreciated,he/she/it had appreciated,we had appreciated,you had appreciated,they had appreciated
B2,Appreciate,Past Perfect Continuous,I had been appreciating,you had been appreciating,he/she/it had been appreciating,we had been appreciating,you had been appreciating,they had been appreciating
B2,Appreciate,Future Simple,I will appreciate,you will appreciate,he/she/it will appreciate,we will appreciate,you will appreciate,they will appreciate
B2,Appreciate,Future Continuous,I will be appreciating,you will be appreciating,he/she/it will be appreciating,we will be appreciating,you will be appreciating,they will be appreciating
B2,Appreciate,Future Perfect Simple,I will have appreciated,you will have appreciated,he/she/it will have appreciated,we will have appreciated,you will have appreciated,they will have appreciated
B2,Appreciate,Future Perfect Continuous,I will have been appreciating,you will have been appreciating,he/she/it will have been appreciating,we will have been appreciating,you will have been appreciating,they will have been appreciating
B2,Befriend,Present Simple,I befriend,you befriend,he/she/it befriends,we befriend,you befriend,they befriend
B2,Befriend,Present Continuous,I am befriending,you are befriending,he/she/it is befriending,we are befriending,you are befriending,they are befriending
B2,Befriend,Present Perfect,I have befriended,you have befriended,he/she/it has befriended,we have befriended,you have befriended,they have befriended
B2,Befriend,Present Perfect Continuous,I have been befriending,you have been befriending,he/she/it has been befriending,we have been befriending,you have been befriending,they have been befriending
B2,Befriend,Past Simple,I befriended,you befriended,he/she/it befriended,we befriended,you befriended,they befriended
B2,Befriend,Past Continuous,I was befriending,you were befriending,he/she/it was befriending,we were befriending,you were befriending,they were befriending
B2,Befriend,Past Perfect Simple,I had befriended,you had befriended,he/she/it had befriended,we had befriended,you had befriended,they had befriended
B2,Befriend,Past Perfect Continuous,I had been befriending,you had been befriending,he/she/it had been befriending,we had been befriending,you had been befriending,they had been befriending
B2,Befriend,Future Simple,I will befriend,you will befriend,he/she/it will befriend,we will befriend,you will befriend,they will befriend
B2,Befriend,Future Continuous,I will be befriending,you will be befriending,he/she/it will be befriending,we will be befriending,you will be befriending,they will be befriending
B2,Befriend,Future Perfect Simple,I will have befriended,you will have befriended,he/she/it will have befriended,we will have befriended,you will have befriended,they will have befriended
B2,Befriend,Future Perfect Continuous,I will have been befriending,you will have been befriending,he/she/it will have been befriending,we will have been befriending,you will have been befriending,they will have been befriending
B2,Clarify,Present Simple,I clarify,you clarify,he/she/it clarifies,we clarify,you clarify,they clarify
B2,Clarify,Present Continuous,I am clarifying,you are clarifying,he/she/it is clarifying,we are clarifying,you are clarifying,they are clarifying
B2,Clarify,Present Perfect,I have clarified,you have clarified,he/she/it has clarified,we have clarified,you have clarified,they have clarified
B2,Clarify,Present Perfect Continuous,I have been clarifying,you have been clarifying,he/she/it has been clarifying,we have been clarifying,you have been clarifying,they have been clarifying
B2,Clarify,Past Simple,I clarified,you clarified,he/she/it clarified,we clarified,you clarified,they clarified
B2,Clarify,Past Continuous,I was clarifying,you were clarifying,he/she/it was clarifying,we were clarifying,you were clarifying,they were clarifying
B2,Clarify,Past Perfect Simple,I had clarified,you had clarified,he/she/it had clarified,we had clarified,you had clarified,they had clarified
B2,Clarify,Past Perfect Continuous,I had been clarifying,you had been clarifying,he/she/it had been clarifying,we had been clarifying,you had been clarifying,they had been clarifying
B2,Clarify,Future Simple,I will clarify,you will clarify,he/she/it will clarify,we will clarify,you will clarify,they will clarify
B2,Clarify,Future Continuous,I will be clarifying,you will be clarifying,he/she/it will be clarifying,we will be clarifying,you will be clarifying,they will be clarifying
B2,Clarify,Future Perfect Simple,I will have clarified,you will have clarified,he/she/it will have clarified,we will have clarified,you will have clarified,they will have clarified
B2,Clarify,Future Perfect Continuous,I will have been clarifying,you will have been clarifying,he/she/it will have been clarifying,we will have been clarifying,you will have been clarifying,they will have been clarifying
B2,Collaborate,Present Simple,I collaborate,you collaborate,he/she/it collaborates,we collaborate,you collaborate,they collaborate
B2,Collaborate,Present Continuous,I am collaborating,you are collaborating,he/she/it is collaborating,we are collaborating,you are collaborating,they are collaborating
B2,Collaborate,Present Perfect,I have collaborated,you have collaborated,he/she/it has collaborated,we have collaborated,you have collaborated,they have collaborated
B2,Collaborate,Present Perfect Continuous,I have been collaborating,you have been collaborating,he/she/it has been collaborating,we have been collaborating,you have been collaborating,they have been collaborating
B2,Collaborate,Past Simple,I collaborated,you collaborated,he/she/it collaborated,we collaborated,you collaborated,they collaborated
B2,Collaborate,Past Continuous,I was collaborating,you were collaborating,he/she/it was collaborating,we were collaborating,you were collaborating,they were collaborating
B2,Collaborate,Past Perfect Simple,I had collaborated,you had collaborated,he/she/it had collaborated,we had collaborated,you had collaborated,they had collaborated
B2,Collaborate,Past Perfect Continuous,I had been collaborating,you had been collaborating,he/she/it had been collaborating,we had been collaborating,you had been collaborating,they had been collaborating
B2,Collaborate,Future Simple,I will collaborate,you will collaborate,he/she/it will collaborate,we will collaborate,you will collaborate,they will collaborate
B2,Collaborate,Future Continuous,I will be collaborating,you will be collaborating,he/she/it will be collaborating,we will be collaborating,you will be collaborating,they will be collaborating
B2,Collaborate,Future Perfect Simple,I will have collaborated,you will have collaborated,he/she/it will have collaborated,we will have collaborated,you will have collaborated,they will have collaborated
B2,Collaborate,Future Perfect Continuous,I will have been collaborating,you will have been collaborating,he/she/it will have been collaborating,we will have been collaborating,you will have been collaborating,they will have been collaborating
B2,Comprehend,Present Simple,I comprehend,you comprehend,he/she/it comprehends,we comprehend,you comprehend,they comprehend
B2,Comprehend,Present Continuous,I am comprehending,you are comprehending,he/she/it is comprehending,we are comprehending,you are comprehending,they are comprehending
B2,Comprehend,Present Perfect,I have comprehended,you have comprehended,he/she/it has comprehended,we have comprehended,you have comprehended,they have comprehended
B2,Comprehend,Present Perfect Continuous,I have been comprehending,you have been comprehending,he/she/it has been comprehending,we have been comprehending,you have been comprehending,they have been comprehending
B2,Comprehend,Past Simple,I comprehended,you comprehended,he/she/it comprehended,we comprehended,you comprehended,they comprehended
B2,Comprehend,Past Continuous,I was comprehending,you were comprehending,he/she/it was comprehending,we were comprehending,you were comprehending,they were comprehending
B2,Comprehend,Past Perfect Simple,I had comprehended,you had comprehended,he/she/it had comprehended,we had comprehended,you had comprehended,they had comprehended
B2,Comprehend,Past Perfect Continuous,I had been comprehending,you had been comprehending,he/she/it had been comprehending,we had been comprehending,you had been comprehending,they had been comprehending
B2,Comprehend,Future Simple,I will comprehend,you will comprehend,he/she/it will comprehend,we will comprehend,you will comprehend,they will comprehend
B2,Comprehend,Future Continuous,I will be comprehending,you will be comprehending,he/she/it will be comprehending,we will be comprehending,you will be comprehending,they will be comprehending
B2,Comprehend,Future Perfect Simple,I will have comprehended,you will have comprehended,he/she/it will have comprehended,we will have comprehended,you will have comprehended,they will have comprehended
B2,Comprehend,Future Perfect Continuous,I will have been comprehending,you will have been comprehending,he/she/it will have been comprehending,we will have been comprehending,you will have been comprehending,they will have been comprehending
B2,Conclude,Present Simple,I conclude,you conclude,he/she/it concludes,we conclude,you conclude,they conclude
B2,Conclude,Present Continuous,I am concluding,you are concluding,he/she/it is concluding,we are concluding,you are concluding,they are concluding
B2,Conclude,Present Perfect,I have concluded,you have concluded,he/she/it has concluded,we have concluded,you have concluded,they have concluded
B2,Conclude,Present Perfect Continuous,I have been concluding,you have been concluding,he/she/it has been concluding,we have been concluding,you have been concluding,they have been concluding
B2,Conclude,Past Simple,I concluded,you concluded,he/she/it concluded,we concluded,you concluded,they concluded
B2,Conclude,Past Continuous,I was concluding,you were concluding,he/she/it was concluding,we were concluding,you were concluding,they were concluding
B2,Conclude,Past Perfect Simple,I had concluded,you had concluded,he/she/it had concluded,we had concluded,you had concluded,they had concluded
B2,Conclude,Past Perfect Continuous,I had been concluding,you had been concluding,he/she/it had been concluding,we had been concluding,you had been concluding,they had been concluding
B2,Conclude,Future Simple,I will conclude,you will conclude,he/she/it will conclude,we will conclude,you will conclude,they will conclude
B2,Conclude,Future Continuous,I will be concluding,you will be concluding,he/she/it will be concluding,we will be concluding,you will be concluding,they will be concluding
B2,Conclude,Future Perfect Simple,I will have concluded,you will have concluded,he/she/it will have concluded,we will have concluded,you will have concluded,they will have concluded
B2,Conclude,Future Perfect Continuous,I will have been concluding,you will have been concluding,he/she/it will have been concluding,we will have been concluding,you will have been concluding,they will have been concluding
B2,Diminish,Present Simple,I diminish,you diminish,he/she/it diminishes,we diminish,you diminish,they diminish
B2,Diminish,Present Continuous,I am diminishing,you are diminishing,he/she/it is diminishing,we are diminishing,you are diminishing,they are diminishing
B2,Diminish,Present Perfect,I have diminished,you have diminished,he/she/it has diminished,we have diminished,you have diminished,they have diminished
B2,Diminish,Present Perfect Continuous,I have been diminishing,you have been diminishing,he/she/it has been diminishing,we have been diminishing,you have been diminishing,they have been diminishing
B2,Diminish,Past Simple,I diminished,you diminished,he/she/it diminished,we diminished,you diminished,they diminished
B2,Diminish,Past Continuous,I was diminishing,you were diminishing,he/she/it was diminishing,we were diminishing,you were diminishing,they were diminishing
B2,Diminish,Past Perfect Simple,I had diminished,you had diminished,he/she/it had diminished,we had diminished,you had diminished,they had diminished
B2,Diminish,Past Perfect Continuous,I had been diminishing,you had been diminishing,he/she/it had been diminishing,we had been diminishing,you had been diminishing,they had been diminishing
B2,Diminish,Future Simple,I will diminish,you will diminish,he/she/it will diminish,we will diminish,you will diminish,they will diminish
B2,Diminish,Future Continuous,I will be diminishing,you will be diminishing,he/she/it will be diminishing,we will be diminishing,you will be diminishing,they will be diminishing
B2,Diminish,Future Perfect Simple,I will have diminished,you will have diminished,he/she/it will have diminished,we will have diminished,you will have diminished,they will have diminished
B2,Diminish,Future Perfect Continuous,I will have been diminishing,you will have been diminishing,he/she/it will have been diminishing,we will have been diminishing,you will have been diminishing,they will have been diminishing
B2,Doubt,Present Simple,I doubt,you doubt,he/she/it doubts,we doubt,you doubt,they doubt
B2,Doubt,Present Continuous,I am doubting,you are doubting,he/she/it is doubting,we are doubting,you are doubting,they are doubting
B2,Doubt,Present Perfect,I have doubted,you have doubted,he/she/it has doubted,we have doubted,you have doubted,they have doubted
B2,Doubt,Present Perfect Continuous,I have been doubting,you have been doubting,he/she/it has been doubting,we have been doubting,you have been doubting,they have been doubting
B2,Doubt,Past Simple,I doubted,you doubted,he/she/it doubted,we doubted,you doubted,they doubted
B2,Doubt,Past Continuous,I was doubting,you were doubting,he/she/it was doubting,we were doubting,you were doubting,they were doubting
B2,Doubt,Past Perfect Simple,I had doubted,you had doubted,he/she/it had doubted,we had doubted,you had doubted,they had doubted
B2,Doubt,Past Perfect Continuous,I had been doubting,you had been doubting,he/she/it had been doubting,we had been doubting,you had been doubting,they had been doubting
B2,Doubt,Future Simple,I will doubt,you will doubt,he/she/it will doubt,we will doubt,you will doubt,they will doubt
B2,Doubt,Future Continuous,I will be doubting,you will be doubting,he/she/it will be doubting,we will be doubting,you will be doubting,they will be doubting
B2,Doubt,Future Perfect Simple,I will have doubted,you will have doubted,he/she/it will have doubted,we will have doubted,you will have doubted,they will have doubted
B2,Doubt,Future Perfect Continuous,I will have been doubting,you will have been doubting,he/she/it will have been doubting,we will have been doubting,you will have been doubting,they will have been doubting
B2,Enhance,Present Simple,I enhance,you enhance,he/she/it enhances,we enhance,you enhance,they enhance
B2,Enhance,Present Continuous,I am enhancing,you are enhancing,he/she/it is enhancing,we are enhancing,you are enhancing,they are enhancing
B2,Enhance,Present Perfect,I have enhanced,you have enhanced,he/she/it has enhanced,we have enhanced,you have enhanced,they have enhanced
B2,Enhance,Present Perfect Continuous,I have been enhancing,you have been enhancing,he/she/it has been enhancing,we have been enhancing,you have been enhancing,they have been enhancing
B2,Enhance,Past Simple,I enhanced,you enhanced,he/she/it enhanced,we enhanced,you enhanced,they enhanced
B2,Enhance,Past Continuous,I was enhancing,you were enhancing,he/she/it was enhancing,we were enhancing,you were enhancing,they were enhancing
B2,Enhance,Past Perfect Simple,I had enhanced,you had enhanced,he/she/it had enhanced,we had enhanced,you had enhanced,they had enhanced
B2,Enhance,Past Perfect Continuous,I had been enhancing,you had been enhancing,he/she/it had been enhancing,we had been enhancing,you had been enhancing,they had been enhancing
B2,Enhance,Future Simple,I will enhance,you will enhance,he/she/it will enhance,we will enhance,you will enhance,they will enhance
B2,Enhance,Future Continuous,I will be enhancing,you will be enhancing,he/she/it will be enhancing,we will be enhancing,you will be enhancing,they will be enhancing
B2,Enhance,Future Perfect Simple,I will have enhanced,you will have enhanced,he/she/it will have enhanced,we will have enhanced,you will have enhanced,they will have enhanced
B2,Enhance,Future Perfect Continuous,I will have been enhancing,you will have been enhancing,he/she/it will have been enhancing,we will have been enhancing,you will have been enhancing,they will have been enhancing
B2,Enquire,Present Simple,I enquire,you enquire,he/she/it enquires,we enquire,you enquire,they enquire
B2,Enquire,Present Continuous,I am enquiring,you are enquiring,he/she/it is enquiring,we are enquiring,you are enquiring,they are enquiring
B2,Enquire,Present Perfect,I have enquired,you have enquired,he/she/it has enquired,we have enquired,you have enquired,they have enquired
B2,Enquire,Present Perfect Continuous,I have been enquiring,you have been enquiring,he/she/it has been enquiring,we have been enquiring,you have been enquiring,they have been enquiring
B2,Enquire,Past Simple,I enquired,you enquired,he/she/it enquired,we enquired,you enquired,they enquired
B2,Enquire,Past Continuous,I was enquiring,you were enquiring,he/she/it was enquiring,we were enquiring,you were enquiring,they were enquiring
B2,Enquire,Past Perfect Simple,I had enquired,you had enquired,he/she/it had enquired,we had enquired,you had enquired,they had enquired
B2,Enquire,Past Perfect Continuous,I had been enquiring,you had been enquiring,he/she/it had been enquiring,we had been enquiring,you had been enquiring,they had been enquiring
B2,Enquire,Future Simple,I will enquire,you will enquire,he/she/it will enquire,we will enquire,you will enquire,they will enquire
B2,Enquire,Future Continuous,I will be enquiring,you will be enquiring,he/she/it will be enquiring,we will be enquiring,you will be enquiring,they will be enquiring
B2,Enquire,Future Perfect Simple,I will have enquired,you will have enquired,he/she/it will have enquired,we will have enquired,you will have enquired,they will have enquired
B2,Enquire,Future Perfect Continuous,I will have been enquiring,you will have been enquiring,he/she/it will have been enquiring,we will have been enquiring,you will have been enquiring,they will have been enquiring
B2,Establish,Present Simple,I establish,you establish,he/she/it establishes,we establish,you establish,they establish
B2,Establish,Present Continuous,I am establishing,you are establishing,he/she/it is establishing,we are establishing,you are establishing,they are establishing
B2,Establish,Present Perfect,I have established,you have established,he/she/it has established,we have established,you have established,they have established
B2,Establish,Present Perfect Continuous,I have been establishing,you have been establishing,he/she/it has been establishing,we have been establishing,you have been establishing,they have been establishing
B2,Establish,Past Simple,I established,you established,he/she/it established,we established,you established,they established
