level,verb,tense,1s,2s,3s,1p,2p,3p
C1,Bear,Future Simple,I will bear,you will bear,he/she/it will bear,we will bear,you will bear,they will bear
C1,Bear,Future Continuous,I will be bearing,you will be bearing,he/she/it will be bearing,we will be bearing,you will be bearing,they will be bearing
C1,Bear,Future Perfect Simple,I will have borne,you will have borne,he/she/it will have borne,we will have borne,you will have borne,they will have borne
C1,Bear,Future Perfect Continuous,I will have been bearing,you will have been bearing,he/she/it will have been bearing,we will have been bearing,you will have been bearing,they will have been bearing
C1,Bear,First Conditional,If I bear,you will bear,he/she/it will bear,we will bear,you will bear,they will bear
C1,Bear,Second Conditional,If I bore,you would bear,he/she/it would bear,we would bear,you would bear,they would bear
C1,Behold,Present Simple,I behold,you behold,he/she/it beholds,we behold,you behold,they behold
C1,Behold,Present Continuous,I am beholding,you are beholding,he/she/it is beholding,we are beholding,you are beholding,they are beholding
C1,Behold,Present Perfect,I have beheld,you have beheld,he/she/it has beheld,we have beheld,you have beheld,they have beheld
C1,Behold,Present Perfect Continuous,I have been beholding,you have been beholding,he/she/it has been beholding,we have been beholding,you have been beholding,they have been beholding
C1,Behold,Past Simple,I beheld,you beheld,he/she/it beheld,we beheld,you beheld,they beheld
C1,Behold,Past Continuous,I was beholding,you were beholding,he/she/it was beholding,we were beholding,you were beholding,they were beholding
C1,Behold,Past Perfect Simple,I had beheld,you had beheld,he/she/it had beheld,we had beheld,you had beheld,they had beheld
C1,Behold,Past Perfect Continuous,I had been beholding,you had been beholding,he/she/it had been beholding,we had been beholding,you had been beholding,they had been beholding
C1,Behold,Future Simple,I will behold,you will behold,he/she/it will behold,we will behold,you will behold,they will behold
C1,Behold,Future Continuous,I will be beholding,you will be beholding,he/she/it will be beholding,we will be beholding,you will be beholding,they will be beholding
C1,Behold,Future Perfect Simple,I will have beheld,you will have beheld,he/she/it will have beheld,we will have beheld,you will have beheld,they will have beheld
C1,Behold,Future Perfect Continuous,I will have been beholding,you will have been beholding,he/she/it will have been beholding,we will have been beholding,you will have been beholding,they will have been beholding
C1,Behold,First Conditional,If I behold,you will behold,he/she/it will behold,we will behold,you will behold,they will behold
C1,Behold,Second Conditional,If I beheld,you would behold,he/she/it would behold,we would behold,you would behold,they would behold
C1,Overcome,Present Simple,I overcome,you overcome,he/she/it overcomes,we overcome,you overcome,they overcome
C1,Overcome,Present Continuous,I am overcoming,you are overcoming,he/she/it is overcoming,we are overcoming,you are overcoming,they are overcoming
C1,Overcome,Present Perfect,I have overcome,you have overcome,he/she/it has overcome,we have overcome,you have overcome,they have overcome
C1,Overcome,Present Perfect Continuous,I have been overcoming,you have been overcoming,he/she/it has been overcoming,we have been overcoming,you have been overcoming,they have been overcoming
C1,Overcome,Past Simple,I overcame,you overcame,he/she/it overcame,we overcame,you overcame,they overcame
C1,Overcome,Past Continuous,I was overcoming,you were overcoming,he/she/it was overcoming,we were overcoming,you were overcoming,they were overcoming
C1,Overcome,Past Perfect Simple,I had overcome,you had overcome,he/she/it had overcome,we had overcome,you had overcome,they had overcome
C1,Overcome,Past Perfect Continuous,I had been overcoming,you had been overcoming,he/she/it had been overcoming,we had been overcoming,you had been overcoming,they had been overcoming
C1,Overcome,Future Simple,I will overcome,you will overcome,he/she/it will overcome,we will overcome,you will overcome,they will overcome
C1,Overcome,Future Continuous,I will be overcoming,you will be overcoming,he/she/it will be overcoming,we will be overcoming,you will be overcoming,they will be overcoming
C1,Overcome,Future Perfect Simple,I will have overcome,you will have overcome,he/she/it will have overcome,we will have overcome,you will have overcome,they will have overcome
C1,Overcome,Future Perfect Continuous,I will have been overcoming,you will have been overcoming,he/she/it will have been overcoming,we will have been overcoming,you will have been overcoming,they will have been overcoming
C1,Overcome,First Conditional,If I overcome,you will overcome,he/she/it will overcome,we will overcome,you will overcome,they will overcome
C1,Overcome,Second Conditional,If I overcame,you would overcome,he/she/it would overcome,we would overcome,you would overcome,they would overcome
C1,Contribute,Present Simple,I contribute,you contribute,he/she/it contributes,we contribute,you contribute,they contribute
C1,Contribute,Present Continuous,I am contributing,you are contributing,he/she/it is contributing,we are contributing,you are contributing,they are contributing
C1,Contribute,Present Perfect,I have contributed,you have contributed,he/she/it has contributed,we have contributed,you have contributed,they have contributed
C1,Contribute,Present Perfect Continuous,I have been contributing,you have been contributing,he/she/it has been contributing,we have been contributing,you have been contributing,they have been contributing
C1,Contribute,Past Simple,I contributed,you contributed,he/she/it contributed,we contributed,you contributed,they contributed
C1,Contribute,Past Continuous,I was contributing,you were contributing,he/she/it was contributing,we were contributing,you were contributing,they were contributing
C1,Contribute,Past Perfect Simple,I had contributed,you had contributed,he/she/it had contributed,we had contributed,you had contributed,they had contributed
C1,Contribute,Past Perfect Continuous,I had been contributing,you had been contributing,he/she/it had been contributing,we had been contributing,you had been contributing,they had been contributing
C1,Contribute,Future Simple,I will contribute,you will contribute,he/she/it will contribute,we will contribute,you will contribute,they will contribute
C1,Contribute,Future Continuous,I will be contributing,you will be contributing,he/she/it will be contributing,we will be contributing,you will be contributing,they will be contributing
C1,Contribute,Future Perfect Simple,I will have contributed,you will have contributed,he/she/it will have contributed,we will have contributed,you will have contributed,they will have contributed
C1,Contribute,Future Perfect Continuous,I will have been contributing,you will have been contributing,he/she/it will have been contributing,we will have been contributing,you will have been contributing,they will have been contributing
C1,Contribute,First Conditional,If I contribute,you will contribute,he/she/it will contribute,we will contribute,you will contribute,they will contribute
C1,Contribute,Second Conditional,If I contributed,you would contribute,he/she/it would contribute,we would contribute,you would contribute,they would contribute
C1,Comprise,Present Simple,I comprise,you comprise,he/she/it comprises,we comprise,you comprise,they comprise
C1,Comprise,Present Continuous,I am comprising,you are comprising,he/she/it is comprising,we are comprising,you are comprising,they are comprising
C1,Comprise,Present Perfect,I have comprised,you have comprised,he/she/it has comprised,we have comprised,you have comprised,they have comprised
C1,Comprise,Present Perfect Continuous,I have been comprising,you have been comprising,he/she/it has been comprising,we have been comprising,you have been comprising,they have been comprising
C1,Comprise,Past Simple,I comprised,you comprised,he/she/it comprised,we comprised,you comprised,they comprised
C1,Comprise,Past Continuous,I was comprising,you were comprising,he/she/it was comprising,we were comprising,you were comprising,they were comprising
C1,Comprise,Past Perfect Simple,I had comprised,you had comprised,he/she/it had comprised,we had comprised,you had comprised,they had comprised
C1,Comprise,Past Perfect Continuous,I had been comprising,you had been comprising,he/she/it had been comprising,we had been comprising,you had been comprising,they had been comprising
C1,Comprise,Future Simple,I will comprise,you will comprise,he/she/it will comprise,we will comprise,you will comprise,they will comprise
C1,Comprise,Future Continuous,I will be comprising,you will be comprising,he/she/it will be comprising,we will be comprising,you will be comprising,they will be comprising
C1,Comprise,Future Perfect Simple,I will have comprised,you will have comprised,he/she/it will have comprised,we will have comprised,you will have comprised,they will have comprised
C1,Comprise,Future Perfect Continuous,I will have been comprising,you will have been comprising,he/she/it will have been comprising,we will have been comprising,you will have been comprising,they will have been comprising
C1,Comprise,First Conditional,If I comprise,you will comprise,he/she/it will comprise,we will comprise,you will comprise,they will comprise
C1,Comprise,Second Conditional,If I comprised,you would comprise,he/she/it would comprise,we would comprise,you would comprise,they would comprise
C1,Deduce,Present Simple,I deduce,you deduce,he/she/it deduces,we deduce,you deduce,they deduce
C1,Deduce,Present Continuous,I am deducing,you are deducing,he/she/it is deducing,we are deducing,you are deducing,they are deducing
C1,Deduce,Present Perfect,I have deduced,you have deduced,he/she/it has deduced,we have deduced,you have deduced,they have deduced
C1,Deduce,Present Perfect Continuous,I have been deducing,you have been deducing,he/she/it has been deducing,we have been deducing,you have been deducing,they have been deducing
C1,Deduce,Past Simple,I deduced,you deduced,he/she/it deduced,we deduced,you deduced,they deduced
C1,Deduce,Past Continuous,I was deducing,you were deducing,he/she/it was deducing,we were deducing,you were deducing,they were deducing
C1,Deduce,Past Perfect Simple,I had deduced,you had deduced,he/she/it had deduced,we had deduced,you had deduced,they had deduced
C1,Deduce,Past Perfect Continuous,I had been deducing,you had been deducing,he/she/it had been deducing,we had been deducing,you had been deducing,they had been deducing
C1,Deduce,Future Simple,I will deduce,you will deduce,he/she/it will deduce,we will deduce,you will deduce,they will deduce
C1,Deduce,Future Continuous,I will be deducing,you will be deducing,he/she/it will be deducing,we will be deducing,you will be deducing,they will be deducing
C1,Deduce,Future Perfect Simple,I will have deduced,you will have deduced,he/she/it will have deduced,we will have deduced,you will have deduced,they will have deduced
C1,Deduce,Future Perfect Continuous,I will have been deducing,you will have been deducing,he/she/it will have been deducing,we will have been deducing,you will have been deducing,they will have been deducing
C1,Deduce,First Conditional,If I deduce,you will deduce,he/she/it will deduce,we will deduce,you will deduce,they will deduce
C1,Deduce,Second Conditional,If I deduced,you would deduce,he/she/it would deduce,we would deduce,you would deduce,they would deduce
C1,Endure,Present Simple,I endure,you endure,he/she/it endures,we endure,you endure,they endure
C1,Endure,Present Continuous,I am enduring,you are enduring,he/she/it is enduring,we are enduring,you are enduring,they are enduring
C1,Endure,Present Perfect,I have endured,you have endured,he/she/it has endured,we have endured,you have endured,they have endured
C1,Endure,Present Perfect Continuous,I have been enduring,you have been enduring,he/she/it has been enduring,we have been enduring,you have been enduring,they have been enduring
C1,Endure,Past Simple,I endured,you endured,he/she/it endured,we endured,you endured,they endured
C1,Endure,Past Continuous,I was enduring,you were enduring,he/she/it was enduring,we were enduring,you were enduring,they were enduring
C1,Endure,Past Perfect Simple,I had endured,you had endured,he/she/it had endured,we had endured,you had endured,they had endured
C1,Endure,Past Perfect Continuous,I had been enduring,you had been enduring,he/she/it had been enduring,we had been enduring,you had been enduring,they had been enduring
C1,Endure,Future Simple,I will endure,you will endure,he/she/it will endure,we will endure,you will endure,they will endure
C1,Endure,Future Continuous,I will be enduring,you will be enduring,he/she/it will be enduring,we will be enduring,you will be enduring,they will be enduring
C1,Endure,Future Perfect Simple,I will have endured,you will have endured,he/she/it will have endured,we will have endured,you will have endured,they will have endured
C1,Endure,Future Perfect Continuous,I will have been enduring,you will have been enduring,he/she/it will have been enduring,we will have been enduring,you will have been enduring,they will have been enduring
C1,Endure,First Conditional,If I endure,you will endure,he/she/it will endure,we will endure,you will endure,they will endure
C1,Endure,Second Conditional,If I endured,you would endure,he/she/it would endure,we would endure,you would endure,they would endure
C1,Exhibit,Present Simple,I exhibit,you exhibit,he/she/it exhibits,we exhibit,you exhibit,they exhibit
C1,Exhibit,Present Continuous,I am exhibiting,you are exhibiting,he/she/it is exhibiting,we are exhibiting,you are exhibiting,they are exhibiting
C1,Exhibit,Present Perfect,I have exhibited,you have exhibited,he/she/it has exhibited,we have exhibited,you have exhibited,they have exhibited
C1,Exhibit,Present Perfect Continuous,I have been exhibiting,you have been exhibiting,he/she/it has been exhibiting,we have been exhibiting,you have been exhibiting,they have been exhibiting
C1,Exhibit,Past Simple,I exhibited,you exhibited,he/she/it exhibited,we exhibited,you exhibited,they exhibited
C1,Exhibit,Past Continuous,I was exhibiting,you were exhibiting,he/she/it was exhibiting,we were exhibiting,you were exhibiting,they were exhibiting
C1,Exhibit,Past Perfect Simple,I had exhibited,you had exhibited,he/she/it had exhibited,we had exhibited,you had exhibited,they had exhibited
C1,Exhibit,Past Perfect Continuous,I had been exhibiting,you had been exhibiting,he/she/it had been exhibiting,we had been exhibiting,you had been exhibiting,they had been exhibiting
C1,Exhibit,Future Simple,I will exhibit,you will exhibit,he/she/it will exhibit,we will exhibit,you will exhibit,they will exhibit
C1,Exhibit,Future Continuous,I will be exhibiting,you will be exhibiting,he/she/it will be exhibiting,we will be exhibiting,you will be exhibiting,they will be exhibiting
C1,Exhibit,Future Perfect Simple,I will have exhibited,you will have exhibited,he/she/it will have exhibited,we will have exhibited,you will have exhibited,they will have exhibited
C1,Exhibit,Future Perfect Continuous,I will have been exhibiting,you will have been exhibiting,he/she/it will have been exhibiting,we will have been exhibiting,you will have been exhibiting,they will have been exhibiting
C1,Exhibit,First Conditional,If I exhibit,you will exhibit,he/she/it will exhibit,we will exhibit,you will exhibit,they will exhibit
C1,Exhibit,Second Conditional,If I exhibited,you would exhibit,he/she/it would exhibit,we would exhibit,you would exhibit,they would exhibit
C1,Facilitate,Present Simple,I facilitate,you facilitate,he/she/it facilitates,we facilitate,you facilitate,they facilitate
C1,Facilitate,Present Continuous,I am facilitating,you are facilitating,he/she/it is facilitating,we are facilitating,you are facilitating,they are facilitating
C1,Facilitate,Present Perfect,I have facilitated,you have facilitated,he/she/it has facilitated,we have facilitated,you have facilitated,they have facilitated
C1,Facilitate,Present Perfect Continuous,I have been facilitating,you have been facilitating,he/she/it has been facilitating,we have been facilitating,you have been facilitating,they have been facilitating
C1,Facilitate,Past Simple,I facilitated,you facilitated,he/she/it facilitated,we facilitated,you facilitated,they facilitated
C1,Facilitate,Past Continuous,I was facilitating,you were facilitating,he/she/it was facilitating,we were facilitating,you were facilitating,they were facilitating
C1,Facilitate,Past Perfect Simple,I had facilitated,you had facilitated,he/she/it had facilitated,we had facilitated,you had facilitated,they had facilitated
C1,Facilitate,Past Perfect Continuous,I had been facilitating,you had been facilitating,he/she/it had been facilitating,we had been facilitating,you had been facilitating,they had been facilitating
C1,Facilitate,Future Simple,I will facilitate,you will facilitate,he/she/it will facilitate,we will facilitate,you will facilitate,they will facilitate
C1,Facilitate,Future Continuous,I will be facilitating,you will be facilitating,he/she/it will be facilitating,we will be facilitating,you will be facilitating,they will be facilitating
C1,Facilitate,Future Perfect Simple,I will have facilitated,you will have facilitated,he/she/it will have facilitated,we will have facilitated,you will have facilitated,they will have facilitated
C1,Facilitate,Future Perfect Continuous,I will have been facilitating,you will have been facilitating,he/she/it will have been facilitating,we will have been facilitating,you will have been facilitating,they will have been facilitating
C1,Facilitate,First Conditional,If I facilitate,you will facilitate,he/she/it will facilitate,we will facilitate,you will facilitate,they will facilitate
C1,Facilitate,Second Conditional,If I facilitated,you would facilitate,he/she/it would facilitate,we would facilitate,you would facilitate,they would facilitate
C1,Generate,Present Simple,I generate,you generate,he/she/it generates,we generate,you generate,they generate
C1,Generate,Present Continuous,I am generating,you are generating,he/she/it is generating,we are generating,you are generating,they are generating
C1,Generate,Present Perfect,I have generated,you have generated,he/she/it has generated,we have generated,you have generated,they have generated
C1,Generate,Present Perfect Continuous,I have been generating,you have been generating,he/she/it has been generating,we have been generating,you have been generating,they have been generating
C1,Generate,Past Simple,I generated,you generated,he/she/it generated,we generated,you generated,they generated
C1,Generate,Past Continuous,I was generating,you were generating,he/she/it was generating,we were generating,you were generating,they were generating
C1,Generate,Past Perfect Simple,I had generated,you had generated,he/she/it had generated,we had generated,you had generated,they had generated
C1,Generate,Past Perfect Continuous,I had been generating,you had been generating,he/she/it had been generating,we had been generating,you had been generating,they had been generating
C1,Generate,Future Simple,I will generate,you will generate,he/she/it will generate,we will generate,you will generate,they will generate
C1,Generate,Future Continuous,I will be generating,you will be generating,he/she/it will be generating,we will be generating,you will be generating,they will be generating
C1,Generate,Future Perfect Simple,I will have generated,you will have generated,he/she/it will have generated,we will have generated,you will have generated,they will have generated
C1,Generate,Future Perfect Continuous,I will have been generating,you will have been generating,he/she/it will have been generating,we will have been generating,you will have been generating,they will have been generating
C1,Generate,First Conditional,If I generate,you will generate,he/she/it will generate,we will generate,you will generate,they will generate
C1,Generate,Second Conditional,If I generated,you would generate,he/she/it would generate,we would generate,you would generate,they would generate
C1,Illustrate,Present Simple,I illustrate,you illustrate,he/she/it illustrates,we illustrate,you illustrate,they illustrate
C1,Illustrate,Present Continuous,I am illustrating,you are illustrating,he/she/it is illustrating,we are illustrating,you are illustrating,they are illustrating
C1,Illustrate,Present Perfect,I have illustrated,you have illustrated,he/she/it has illustrated,we have illustrated,you have illustrated,they have illustrated
C1,Illustrate,Present Perfect Continuous,I have been illustrating,you have been illustrating,he/she/it has been illustrating,we have been illustrating,you have been illustrating,they have been illustrating
C1,Illustrate,Past Simple,I illustrated,you illustrated,he/she/it illustrated,we illustrated,you illustrated,they illustrated
C1,Illustrate,Past Continuous,I was illustrating,you were illustrating,he/she/it was illustrating,we were illustrating,you were illustrating,they were illustrating
C1,Illustrate,Past Perfect Simple,I had illustrated,you had illustrated,he/she/it had illustrated,we had illustrated,you had illustrated,they had illustrated
C1,Illustrate,Past Perfect Continuous,I had been illustrating,you had been illustrating,he/she/it had been illustrating,we had been illustrating,you had been illustrating,they had been illustrating
C1,Illustrate,Future Simple,I will illustrate,you will illustrate,he/she/it will illustrate,we will illustrate,you will illustrate,they will illustrate
C1,Illustrate,Future Continuous,I will be illustrating,you will be illustrating,he/she/it will be illustrating,we will be illustrating,you will be illustrating,they will be illustrating
C1,Illustrate,Future Perfect Simple,I will have illustrated,you will have illustrated,he/she/it will have illustrated,we will have illustrated,you will have illustrated,they will have illustrated
C1,Illustrate,Future Perfect Continuous,I will have been illustrating,you will have been illustrating,he/she/it will have been illustrating,we will have been illustrating,you will have been illustrating,they will have been illustrating
C1,Illustrate,First Conditional,If I illustrate,you will illustrate,he/she/it will illustrate,we will illustrate,you will illustrate,they will illustrate
C1,Illustrate,Second Conditional,If I illustrated,you would illustrate,he/she/it would illustrate,we would illustrate,you would illustrate,they would illustrate
C1,Implement,Present Simple,I implement,you implement,he/she/it implements,we implement,you implement,they implement
C1,Implement,Present Continuous,I am implementing,you are implementing,he/she/it is implementing,we are implementing,you are implementing,they are implementing
C1,Implement,Present Perfect,I have implemented,you have implemented,he/she/it has implemented,we have implemented,you have implemented,they have implemented
C1,Implement,Present Perfect Continuous,I have been implementing,you have been implementing,he/she/it has been implementing,we have been implementing,you have been implementing,they have been implementing
C1,Implement,Past Simple,I implemented,you implemented,he/she/it implemented,we implemented,you implemented,they implemented
C1,Implement,Past Continuous,I was implementing,you were implementing,he/she/it was implementing,we were implementing,you were implementing,they were implementing
C1,Implement,Past Perfect Simple,I had implemented,you had implemented,he/she/it had implemented,we had implemented,you had implemented,they had implemented
C1,Implement,Past Perfect Continuous,I had been implementing,you had been implementing,he/she/it had been implementing,we had been implementing,you had been implementing,they had been implementing
C1,Implement,Future Simple,I will implement,you will implement,he/she/it will implement,we will implement,you will implement,they will implement
C1,Implement,Future Continuous,I will be implementing,you will be implementing,he/she/it will be implementing,we will be implementing,you will be implementing,they will be implementing
C1,Implement,Future Perfect Simple,I will have implemented,you will have implemented,he/she/it will have implemented,we will have implemented,you will have implemented,they will have implemented
C1,Implement,Future Perfect Continuous,I will have been implementing,you will have been implementing,he/she/it will have been implementing,we will have been implementing,you will have been implementing,they will have been implementing
C1,Implement,First Conditional,If I implement,you will implement,he/she/it will implement,we will implement,you will implement,they will implement
C1,Implement,Second Conditional,If I implemented,you would implement,he/she/it would implement,we would implement,you would implement,they would implement
C1,Chide,Present Simple,I chide,you chide,he/she/it chides,we chide,you chide,they chide
C1,Chide,Present Continuous,I am chiding,you are chiding,he/she/it is chiding,we are chiding,you are chiding,they are chiding
C1,Chide,Present Perfect,I have chided,you have chided,he/she/it has chided,we have chided,you have chided,they have chided
C1,Chide,Present Perfect Continuous,I have been chiding,you have been chiding,he/she/it has been chiding,we have been chiding,you have been chiding,they have been chiding
C1,Chide,Past Simple,I chid,you chid,he/she/it chid,we chid,you chid,they chid
C1,Chide,Past Continuous,I was chiding,you were chiding,he/she/it was chiding,we were chiding,you were chiding,they were chiding
C1,Chide,Past Perfect Simple,I had chided,you had chided,he/she/it had chided,we had chided,you had chided,they had chided
C1,Chide,Past Perfect Continuous,I had been chiding,you had been chiding,he/she/it had been chiding,we had been chiding,you had been chiding,they had been chiding
C1,Chide,Future Simple,I will chide,you will chide,he/she/it will chide,we will chide,you will chide,they will chide
C1,Chide,Future Continuous,I will be chiding,you will be chiding,he/she/it will be chiding,we will be chiding,you will be chiding,they will be chiding
C1,Chide,Future Perfect Simple,I will have chided,you will have chided,he/she/it will have chided,we will have chided,you will have chided,they will have chided
C1,Chide,Future Perfect Continuous,I will have been chiding,you will have been chiding,he/she/it will have been chiding,we will have been chiding,you will have been chiding,they will have been chiding
C1,Chide,First Conditional,If I chide,you will chide,he/she/it will chide,we will chide,you will chide,they will chide
C1,Chide,Second Conditional,If I chided,you would chide,he/she/it would chide,we would chide,you would chide,they would chide
C1,Cling,Present Simple,I cling,you cling,he/she/it clings,we cling,you cling,they cling
C1,Cling,Present Continuous,I am clinging,you are clinging,he/she/it is clinging,we are clinging,you are clinging,they are clinging
C1,Cling,Present Perfect,I have clung,you have clung,he/she/it has clung,we have clung,you have clung,they have clung
C1,Cling,Present Perfect Continuous,I have been clinging,you have been clinging,he/she/it has been clinging,we have been clinging,you have been clinging,they have been clinging
C1,Cling,Past Simple,I clung,you clung,he/she/it clung,we clung,you clung,they clung
C1,Cling,Past Continuous,I was clinging,you were clinging,he/she/it was clinging,we were clinging,you were clinging,they were clinging
C1,Cling,Past Perfect Simple,I had clung,you had clung,he/she/it had clung,we had clung,you had clung,they had clung
C1,Cling,Past Perfect Continuous,I had been clinging,you had been clinging,he/she/it had been clinging,we had been clinging,you had been clinging,they had been clinging
C1,Cling,Future Simple,I will cling,you will cling,he/she/it will cling,we will cling,you will cling,they will cling
C1,Cling,Future Continuous,I will be clinging,you will be clinging,he/she/it will be clinging,we will be clinging,you will be clinging,they will be clinging
C1,Cling,Future Perfect Simple,I will have clung,you will have clung,he/she/it will have clung,we will have clung,you will have clung,they will have clung
C1,Cling,Future Perfect Continuous,I will have been clinging,you will have been clinging,he/she/it will have been clinging,we will have been clinging,you will have been clinging,they will have been clinging
C1,Cling,First Conditional,If I cling,you will cling,he/she/it will cling,we will cling,you will cling,they will cling
C1,Cling,Second Conditional,If I clung,you would cling,he/she/it would cling,we would cling,you would cling,they would cling
C1,Cleave,Present Simple,I cleave,you cleave,he/she/it cleaves,we cleave,you cleave,they cleave
C1,Cleave,Present Continuous,I am cleaving,you are cleaving,he/she/it is cleaving,we are cleaving,you are cleaving,they are cleaving
C1,Cleave,Present Perfect,I have cleaved,you have cleaved,he/she/it has cleaved,we have cleaved,you have cleaved,they have cleaved
C1,Cleave,Present Perfect Continuous,I have been cleaving,you have been cleaving,he/she/it has been cleaving,we have been cleaving,you have been cleaving,they have been cleaving
C1,Cleave,Past Simple,I cleaved,you cleaved,he/she/it cleaved,we cleaved,you cleaved,they cleaved
C1,Cleave,Past Continuous,I was cleaving,you were cleaving,he/she/it was cleaving,we were cleaving,you were cleaving,they were cleaving
C1,Cleave,Past Perfect Simple,I had cleaved,you had cleaved,he/she/it had cleaved,we had cleaved,you had cleaved,they had cleaved
